Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ğ	ÏêÏ¸Àà±ğ	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
LiÖt Hoµng M· 	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"LiÖt m·, ®¸nh thÕ nµo còng ch¹y kh«ng nhanh."	0	5000	1	0	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	20										
LiÖt Hoµng M· 	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"LiÖt m·, ®¸nh thÕ nµo còng ch¹y kh«ng nhanh."	0	5000	2	0	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	25										
Hoµng M· 	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng mµu h¬i xanh tİa, hµnh tr×nh rÊt kĞm."	0	10000	3	0	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	30										
Hoµng M· 	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng mµu h¬i xanh tİa, hµnh tr×nh rÊt kĞm."	0	10000	4	0	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	35										
Hoµng Phiªu	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng vµng t­¬ng ®èi quı, ngµy ®i tr¨m dÆm"	0	20000	5	0	111	30%	30%	93	200	200	85	50	50	150	-50	-50										36	40										
Hoµng Phiªu	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng vµng t­¬ng ®èi quı, ngµy ®i tr¨m dÆm"	0	20000	6	0	111	30%	30%	93	200	200	85	50	50	150	-50	-50										36	45										
§¹i UyÓn Hoµng M· 	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i TuÊn m· hiÕm thÊy, ngh×n vµng khã mua"	0	50000	7	0	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	50										
§¹i UyÓn Hoµng M· 	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i TuÊn m· hiÕm thÊy, ngh×n vµng khã mua"	0	50000	8	0	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	55										
Phi Hoµng	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong t¸m con danh m· cña Chu Môc V­¬ng, ngµy ®i ngh×n dÆm"	0	100000	9	0	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	60										
Phi Hoµng	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong t¸m con danh m· cña Chu Môc V­¬ng, ngµy ®i ngh×n dÆm"	0	100000	10	0	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	72										
LiÖt Thanh M· 	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Lo¹i ngùa h¹ ®¼ng, l«ng mµu xanh nh¹t"	1	5000	1	0	111	10%	10%	93	50	50	85	5	5	150	-15	-15										36	20										
LiÖt Thanh M· 	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Lo¹i ngùa h¹ ®¼ng, l«ng mµu xanh nh¹t"	1	5000	2	0	111	10%	10%	93	50	50	85	5	5	150	-15	-15										36	25										
Thanh Th«ng	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mét lo¹i ngùa l«ng tr¾ng x¸m th«ng th­êng,hµnh tr×nh rÊt kĞm."	1	10000	3	0	111	20%	20%	93	100	100	85	10	10	150	-30	-30										36	30										
Thanh Th«ng	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mét lo¹i ngùa l«ng tr¾ng x¸m th«ng th­êng,hµnh tr×nh rÊt kĞm."	1	10000	4	0	111	20%	20%	93	100	100	85	10	10	150	-30	-30										36	35										
Tö L­u	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Loµi ngùa qu©n ®éi th­êng dïng, ®i xa rÊt tèt."	1	20000	5	0	111	30%	30%	93	200	200	85	20	20	150	-80	-80										36	40										
Tö L­u	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Loµi ngùa qu©n ®éi th­êng dïng, ®i xa rÊt tèt."	1	20000	6	0	111	30%	30%	93	200	200	85	20	20	150	-80	-80										36	45										
§¹i UyÓn Thanh M· 	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mét lo¹i ngùa quı, l«ng tr¾ng x¸m, m¾t nh­ ngäc "	1	50000	7	0	111	40%	40%	93	500	500	85	50	50	150	-160	-160										36	50										
§¹i UyÓn Thanh M· 	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mét lo¹i ngùa quı, l«ng tr¾ng x¸m, m¾t nh­ ngäc "	1	50000	8	0	111	40%	40%	93	500	500	85	50	50	150	-160	-160										36	55										
Hoa L­u	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mµu ®á rùc nh­ löa, mét trong t¸m con danh m· cña Chu Môc V­¬ng."	1	100000	9	0	111	50%	50%	93	1000	1000	85	100	100	150	-320	-320										36	60										
