[Normal]Item: Anh Hµo Kim Cang H¹ Giíi(0,1,8505,0,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang Yªu Trôy(0,1,8504,1,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang T¨ng Hµi(0,1,8503,1,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang Giíi §ao(0,1,8502,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang Cµ Sa(0,1,8501,0,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang Thóc Yªu(0,1,8500,0,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang Hé UyÓn(0,1,8499,1,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang Th­îng Giíi(0,1,8498,0,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang T¨ng M·o(0,1,8497,0,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang H¹ng Liªn(0,1,8496,1,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang H¹ng Liªn(0,1,8496,1,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang T¨ng M·o(0,1,8497,0,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang Th­îng Giíi(0,1,8498,0,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang Hé UyÓn(0,1,8499,1,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang Thóc Yªu(0,1,8500,0,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang Cµ Sa(0,1,8501,0,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang Giíi §ao(0,1,8502,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang T¨ng Hµi(0,1,8503,1,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang Yªu Trôy(0,1,8504,1,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang H¹ Giíi(0,1,8505,0,3,10), unbind = 0, bind = 60000
[Normal]Item: Thanh C©u LÖ ¢m H¹ Giíi(0,1,1083,0,4,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Béi(0,1,1082,1,3,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Ngoa(0,1,1081,0,1,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Th­¬ng(0,1,1080,3,2,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Gi¸p Y(0,1,1079,2,0,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Yªu §¸i(0,1,1078,1,4,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Hé UyÓn(0,1,1077,1,3,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Th­îng Giíi(0,1,1076,0,1,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Kh«i(0,1,1075,2,2,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m H¹ng Khuyªn(0,1,1074,1,0,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m H¹ng Khuyªn(0,1,1074,1,0,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Kh«i(0,1,1075,2,2,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Th­îng Giíi(0,1,1076,0,1,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Hé UyÓn(0,1,1077,1,3,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Yªu §¸i(0,1,1078,1,4,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Gi¸p Y(0,1,1079,2,0,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Th­¬ng(0,1,1080,3,2,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Ngoa(0,1,1081,0,1,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Béi(0,1,1082,1,3,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m H¹ Giíi(0,1,1083,0,4,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m H¹ Giíi(0,1,1083,0,4,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Béi(0,1,1082,1,3,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Ngoa(0,1,1081,0,1,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Th­¬ng(0,1,1080,3,2,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Gi¸p Y(0,1,1079,2,0,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Yªu §¸i(0,1,1078,1,4,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Hé UyÓn(0,1,1077,1,3,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Th­îng Giíi(0,1,1076,0,1,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m Kh«i(0,1,1075,2,2,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u LÖ ¢m H¹ng Khuyªn(0,1,1074,1,0,10), unbind = 0, bind = 20
[Normal]Item: Anh Hµo LÖ ¢m H¹ng Khuyªn(0,1,8646,1,0,10), un
