[Normal]Item: Anh Hµo Liªn Hoa H¹ng Liªn(0,1,8636,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa §Çu Hoµn(0,1,8637,5,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Th­îng Giíi(0,1,8638,0,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Hé UyÓn(0,1,8639,1,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Thóc Yªu(0,1,8640,0,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa C¸i Y(0,1,8641,5,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Tr­îng(0,1,8642,2,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Ngoa(0,1,8643,0,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Yªu Trôy(0,1,8644,1,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa H¹ Giíi(0,1,8645,0,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa H¹ Giíi(0,1,8645,0,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Yªu Trôy(0,1,8644,1,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Ngoa(0,1,8643,0,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Tr­îng(0,1,8642,2,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa C¸i Y(0,1,8641,5,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Thóc Yªu(0,1,8640,0,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Hé UyÓn(0,1,8639,1,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Th­îng Giíi(0,1,8638,0,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa §Çu Hoµn(0,1,8637,5,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa H¹ng Liªn(0,1,8636,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa H¹ng Liªn(0,1,8636,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa §Çu Hoµn(0,1,8637,5,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Th­îng Giíi(0,1,8638,0,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Hé UyÓn(0,1,8639,1,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Thóc Yªu(0,1,8640,0,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa C¸i Y(0,1,8641,5,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Tr­îng(0,1,8642,2,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Ngoa(0,1,8643,0,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Yªu Trôy(0,1,8644,1,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa H¹ Giíi(0,1,8645,0,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa H¹ Giíi(0,1,8645,0,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Yªu Trôy(0,1,8644,1,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Ngoa(0,1,8643,0,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Tr­îng(0,1,8642,2,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa C¸i Y(0,1,8641,5,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Thóc Yªu(0,1,8640,0,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Hé UyÓn(0,1,8639,1,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Th­îng Giíi(0,1,8638,0,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa §Çu Hoµn(0,1,8637,5,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa H¹ng Liªn(0,1,8636,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Kim Phong Thanh D­¬ng Kh«i(0,1,176,4,2,5), unbind = 0, bind = 50
[Normal]Item: Kim Phong Kú L©n HuyÕt(0,1,177,18,0,5), unbind = 0, bind = 50
[Normal]Item: Kim Phong Tr¹c Liªn Quang(0,1,178,1,1,5), unbind = 0, bind = 50
[Normal]Item: Kim Phong C«ng CÈn Tam Th¸n(0,1,179,0,2,5), unbind = 0, bind = 50
[Normal]Item: Kim Phong §o¹t Hån Ngäc ®¸i(0,1,180,1,4,5), unbind = 0, bind = 50
[Normal]Item: Kim Phong HËu NghÖ dÉn cung(0,1,181,1,3,5), unbind = 0, bind = 50
[Normal]Item: Kim Phong Lan §×nh Ngäc(0,1,182,1,0,5), unbind = 0, bind = 50
[Normal]Item: Kim Phong Thiªn Lý Th¶o Th­îng Phi(0,1,183,1,4,5), unbind = 0, bind = 50
[Normal]Item: Kim Phong §ång T­íc Xu©n Th©m(0,1,184,0,1,5), unbind = 0, bind = 50
[Normal]Item: Anh Hµo Liªn Hoa H¹ng L
