[Enchasable]Item: (0,2,0,0,2,10),¼Ó±ùÉËº¦=(100,0),¼ÓÉËº¦Ç¿»¯=(93,0),¼Ó¹¥»÷ËÙ¶È=(30,0),ÍµÑª=(10,0),¼ÓÎïÀíÉËº¦=(46,0),¼Ó¼¼ÄÜ=(2,0), unbind = 0, bind = 0
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hµi(0,1,5224,0,0,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Gi¸p Y(0,1,5223,1,3,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Yªu §¸i(0,1,5222,0,1,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hé UYÓn(0,1,5221,1,2,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Kh«i(0,1,5219,1,4,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo Chi Di T¾c CÇm(0,1,8752,3,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Chi Hoa Èn KiÕm(0,1,8762,0,2,10), unbind = 0, bind = 60000
[Normal]Item: L¨ng Nh¹c Th¸i Cùc KiÕm(0,1,115,0,4,10), unbind = 0, bind = 50
[Normal]Item: CËp Phong Ch©n Vò KiÕm(0,1,120,0,2,10), unbind = 0, bind = 50
[Normal]Item: H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy(0,1,15,4,2,10), unbind = 0, bind = 50
[Normal]Item: KÕ NghiÖp B«n L«i Toµn Long th­¬ng(0,1,20,3,2,10), unbind = 0, bind = 50
[Normal]Item: Ngù Long L­îng Ng©n B¶o ®ao(0,1,25,1,2,10), unbind = 0, bind = 50
[Normal]Item: Phôc Ma Tö Kim C«n(0,1,5,2,0,10), unbind = 0, bind = 50
[Normal]Item: Tø Kh«ng Gi¸ng Ma Giíi ®ao(0,1,10,1,0,10), unbind = 0, bind = 50
[Normal]Item: V« Gian û Thiªn KiÕm(0,1,30,0,0,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo V« S¾c Tr­êng KiÕm(0,1,8542,0,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo TuyÕt S¾c TriÒn Thñ(0,1,8552,6,0,10), unbind = 0, bind = 60000
[Normal]Item: V« Gian û Thiªn KiÕm(0,1,30,0,0,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo V« S¾c Tr­êng KiÕm(0,1,8542,0,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo TuyÕt S¾c TriÒn Thñ(0,1,8552,6,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo La H¸n TriÒn Thñ(0,1,8482,6,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo PhËt §µ T¨ng C«n(0,1,8492,2,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Kim Cang Giíi §ao(0,1,8502,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Tè La §ao(0,1,8562,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo BÝch La Uyªn ¦¬ng§ao(0,1,8572,5,2,10), unbind = 0, bind = 60000
[Normal]Item: Tª Hoµng Phông Nghi ®ao(0,1,45,1,0,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo Tè La §ao(0,1,8562,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo BÝch La Uyªn ¦¬ng§ao(0,1,8572,5,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo V« S¾c Tr­êng KiÕm(0,1,8542,0,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo TuyÕt S¾c TriÒn Thñ(0,1,8552,6,0,10), unbind = 0, bind = 60000
[Normal]Item: V« Gian û Thiªn KiÕm(0,1,30,0,0,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo V« S¾c Tr­êng KiÕm(0,1,8542,0,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo TuyÕt S¾c TriÒn Thñ(0,1,8552,6,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo V« S¾c Tr­êng KiÕm(0,1,8542,0,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo TuyÕt S¾c TriÒn Thñ(0,1,8552,6,0,10), unbind = 0, bind = 60000
[Normal]Item: V« Gian û Thiªn KiÕm(0,1,30,0,0,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo V« S¾c Tr­êng KiÕm(0,1,8542,0,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo TuyÕt S¾c TriÒn Thñ(0,1,8552,6,0,10), unbind = 0, bind = 60000
[Normal]Item: Minh ¶o Tµ S¸t §éc NhËn(0,1,60,1,2,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo Ban Lan TriÒn Thñ(0,1,8582,6,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Lôc Quang §éc NhËn(0,1,8592,1,2,10), unbind = 0, bind = 60000
[Normal]Item: Minh ¶o Tµ S¸t §éc NhËn(0,1,60,1,2,10), unbind = 0, bind = 50
[Normal]Item: V« Gian û Thiªn KiÕm(0,1,30,0,0,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo V« S¾c Tr­êng KiÕm(0,1,8542,0,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo TuyÕt S¾c
