[Normal]Item: Long T­¬ng Chi L©n Kh«i(0,1,5219,1,4,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hé UYÓn(0,1,5221,1,2,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Yªu §¸i(0,1,5222,0,1,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Gi¸p Y(0,1,5223,1,3,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hµi(0,1,5224,0,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Enchasable]Item: (0,2,0,0,2,10),¼Ó±ùÉËº¦=(100,0),¼ÓÉËº¦Ç¿»¯=(93,0),¼Ó¹¥»÷ËÙ¶È=(30,0),ÍµÑª=(10,0),¼ÓÎïÀíÉËº¦=(46,0),¼Ó¼¼ÄÜ=(2,0), unbind = 0, bind = 0
[Normal]Item: Vâ §ang KhÝ - ChiÕn tr­êng Thiªn Nh©n §Þch(0,1,4626,792,5,1), unbind = 0, bind = 50
[Normal]Item: Vâ §ang KiÕm - ChiÕn tr­êng Thiªn Nh©n §Þch(0,1,4627,793,5,1), unbind = 0, bind = 50
[Normal]Item: [Hoµn Mü] Hång ¶nh TrÇm Viªn V·n Tóy(0,1,433,1,1,10), unbind = 0, bind = 50
[Normal]Item: [Hoµn Mü] Hång ¶nh KiÕm Qua T©y Ph­¬ng(0,1,434,0,2,10), unbind = 0, bind = 50
[Normal]Item: [Hoµn Mü] Hång ¶nh Môc Tóc T­¬ng Vong(0,1,435,0,4,10), unbind = 0, bind = 50
[Normal]Item: [Hoµn Mü] Hång ¶nh Hång Tô Chiªu(0,1,436,1,3,10), unbind = 0, bind = 50
[Enchasable]Item: (0,2,0,0,2,10),¼Ó±ùÉËº¦=(100,0),¼ÓÉËº¦Ç¿»¯=(93,0),¼Ó¹¥»÷ËÙ¶È=(30,0),ÍµÑª=(10,0),¼ÓÎïÀíÉËº¦=(46,0),¼Ó¼¼ÄÜ=(2,0), unbind = 0, bind = 0
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hµi(0,1,5224,0,0,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Gi¸p Y(0,1,5223,1,3,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Yªu §¸i(0,1,5222,0,1,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hé UYÓn(0,1,5221,1,2,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Kh«i(0,1,5219,1,4,10), unbind = 0, bind = 50
[Normal]Item: C«n Lu©n §ao - ChiÕn tr­êng Thiªn Nh©n §Þch(0,1,4628,794,5,1), unbind = 0, bind = 50
[Normal]Item: C«n Lu©n KiÕm - ChiÕn tr­êng Thiªn Nh©n §Þch(0,1,4629,795,5,1), unbind = 0, bind = 50
[Normal]Item: T©n NhËm Hµnh Ên Gi¸m (Th­îng)(0,1,5931,0,5,10), unbind = 0, bind = 50
[Normal]Item: T©n NhËm Hµnh Ên Gi¸m (Trung)(0,1,5930,0,5,10), unbind = 0, bind = 50
[Normal]Item: T©n NhËm Hµnh Ên Gi¸m (Th­îng)(0,1,5931,0,5,10), unbind = 0, bind = 50
[Normal]Item: Ngò Hµnh Ên(0,1,3233,0,5,10), unbind = 0, bind = 50
[Normal]Item: Hoµng Kim Ên (Nh­îc hãa)(0,1,3219,0,5,6), unbind = 0, bind = 50
[Normal]Item: Hoµng Kim Ên (C­êng hãa)(0,1,3204,0,5,1), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3484,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3485,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3486,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong cao cÊp(0,1,3487,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong cao cÊp(0,1,3488,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong cao cÊp(0,1,3489,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3484,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3485,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3486,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong cao cÊp(0,1,3487,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong cao cÊp(0,1,3488,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong cao cÊp(0,1,3489,0,5,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Kh«i(0,1,5219,1,4,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hé UYÓn(0,1,5221,1,2,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Yªu §¸i(0,1,5222,0,1,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Gi¸p Y(0,1,5223,1,3,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hµi(0,1,5224,0,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
