[Normal]Item: Ngò Hµnh Ên(0,1,3233,0,5,10), unbind = 0, bind = 150000
[Normal]Item: Phi Phong cao cÊp(0,1,3487,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong cao cÊp(0,1,3488,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong cao cÊp(0,1,3489,0,5,10), unbind = 0, bind = 50
[Normal]Item: Long ChiÕn Vu D· - KiÕm DiÖu(0,1,5656,0,5,10), unbind = 0, bind = 150000
[Normal]Item: Long ChiÕn Vu D· - KiÕm DiÖu(0,1,5656,0,5,10), unbind = 0, bind = 150000
[Normal]Item: Phi Phong cao cÊp(0,1,3489,0,5,10), unbind = 0, bind = 50
[Normal]Item: Ngò Hµnh Ên(0,1,3233,0,5,10), unbind = 0, bind = 150000
[Normal]Item: L¨ng V©n Tr¸ng ChÝ Kh«i(0,1,5202,0,2,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng ChÝ Gi¸p(0,1,5203,0,0,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng ChÝ L÷(0,1,5204,0,1,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng ChÝ Tô(0,1,5205,0,3,10), unbind = 0, bind = 50
[Normal]Item: L¨ng V©n Tr¸ng ChÝ §¸i(0,1,5206,0,4,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Kh«i(0,1,4837,0,2,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- §¹o Bµo(0,1,4838,0,0,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Lý(0,1,4839,0,1,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Hé UyÓn(0,1,4840,0,3,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Yªu §¸i(0,1,4841,0,4,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo Tè La §ao(0,1,8562,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Tè La §ao(0,1,8562,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Yªu §¸i(0,1,4841,0,4,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Hé UyÓn(0,1,4840,0,3,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Lý(0,1,4839,0,1,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- §¹o Bµo(0,1,4838,0,0,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Kh«i(0,1,4837,0,2,10), unbind = 0, bind = 50
[Normal]Item: Ngò Hµnh Ên(0,1,3233,0,5,10), unbind = 0, bind = 150000
[Normal]Item: Phi Phong cao cÊp(0,1,3489,0,5,10), unbind = 0, bind = 50
[Normal]Item: Long ChiÕn Vu D· - KiÕm DiÖu(0,1,5656,0,5,10), unbind = 0, bind = 150000
[Enchasable]Item: (0,2,0,1,2,10),¼Ó±ùÉËº¦=(100,0),ÍµÑª=(10,0),¼Ó¹¥»÷ËÙ¶È=(30,0),ÍµÄÚÁ¦=(10,0),¼ÓÉËº¦Ç¿»¯=(98,0),¼ÓÎïÀíÉËº¦=(48,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,0,1,2,10),¼Ó±ùÉËº¦=(100,0),ÍµÑª=(10,0),¼Ó¹¥»÷ËÙ¶È=(30,0),ÍµÄÚÁ¦=(10,0),¼ÓÉËº¦Ç¿»¯=(98,0),¼ÓÎïÀíÉËº¦=(48,0), unbind = 0, bind = 0
[Normal]Item: Long ChiÕn Vu D· - KiÕm DiÖu(0,1,5656,0,5,10), unbind = 0, bind = 150000
[Normal]Item: Phi Phong cao cÊp(0,1,3489,0,5,10), unbind = 0, bind = 50
[Normal]Item: Ngò Hµnh Ên(0,1,3233,0,5,10), unbind = 0, bind = 150000
[Normal]Item: H¾c thÇn- M·nh Uy- Kh«i(0,1,4837,0,2,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- §¹o Bµo(0,1,4838,0,0,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Lý(0,1,4839,0,1,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Hé UyÓn(0,1,4840,0,3,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Yªu §¸i(0,1,4841,0,4,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo Tè La §ao(0,1,8562,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Tè La §ao(0,1,8562,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Yªu §¸i(0,1,4841,0,4,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Hé UyÓn(0,1,4840,0,3,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Lý(0,1,4839,0,1,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- §¹o Bµo(0,1,4838,0,0,10), unbind = 0, bind = 50
[Normal]Item: H¾c thÇn- M·nh Uy- Kh«i(0,1,4837,0,2,10), unbind = 0, bind = 50
[Normal]Item: Ngò Hµnh Ên(0,1,3233,0,5,10), unbind = 0, bind = 150000
[Normal]Item: Phi Phong cao cÊp(0,1,3489,0,5,10), unbind = 0, bind = 50
[Normal]Item: Long ChiÕn Vu D· - KiÕm DiÖu(0,1,5656,0,5,10), unbind = 0, bind = 150000
[Enchasable]Item: (0,2,0,1,2,10),¼Ó±ùÉËº¦=(100,0),ÍµÑª=(10,0),¼Ó¹¥»÷ËÙ¶È=(30,0),ÍµÄÚÁ¦=(10,0),¼ÓÉËº¦Ç¿»¯=(98,0),¼ÓÎïÀíÉËº¦=(48,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,0,1,2,10),¼Ó±ùÉËº¦=(100,0),ÍµÑª=(10,0),¼Ó¹¥»÷ËÙ¶È=(30,0),ÍµÄÚÁ¦=(10,0),¼ÓÉËº¦Ç¿»¯=(98,0),¼ÓÎïÀíÉËº¦=(48,0), unbind = 0, bind = 0
