[Enchasable]Item: (0,2,0,0,0,10),¼ÓÉËº¦Ç¿»¯=(8,0),¼ÓÉËº¦Ç¿»¯=(11,0),¼ÓÉËº¦Ç¿»¯=(24,0),¼ÓÉËº¦Ç¿»¯=(39,0),¼ÓÉËº¦Ç¿»¯=(50,0),¼ÓÉËº¦Ç¿»¯=(55,0), unbind = 0, bind = 0
[Normal]Item: Phi Phong PhÖ Quang ( dÞch chuyÓn tøc thêi)(0,1,3475,0,5,7), unbind = 0, bind = 50
[Normal]Item: Phi Phong PhÖ Quang (hãa gi¶i s¸t th­¬ng)(0,1,3476,0,5,7), unbind = 0, bind = 50
[Normal]Item: Phi Phong PhÖ Quang ( träng kÝch)(0,1,3477,0,5,7), unbind = 0, bind = 50
[Normal]Item: Phi Phong KhÊp ThÇn (dÞch chuyÓn tøc thêi)(0,1,3478,0,5,8), unbind = 0, bind = 50
[Normal]Item: Phi Phong Kh¾p ThÇn(Hãa Gi¶i S¸t Th­¬ng)(0,1,3479,0,5,8), unbind = 0, bind = 50
[Normal]Item: Phi Phong KhÊp ThÇn (träng kÝch)(0,1,3480,0,5,8), unbind = 0, bind = 50
[Normal]Item: Phi phong K×nh Thiªn(0,1,3481,0,5,9), unbind = 0, bind = 50
[Normal]Item: Phi phong K×nh Thiªn(0,1,3482,0,5,9), unbind = 0, bind = 50
[Normal]Item: Phi phong K×nh Thiªn(0,1,3483,0,5,9), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3484,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3485,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3486,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong cao cÊp(0,1,3487,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong cao cÊp(0,1,3488,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong cao cÊp(0,1,3489,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong PhÖ Quang ( dÞch chuyÓn tøc thêi)(0,1,3475,0,5,7), unbind = 0, bind = 50
[Normal]Item: Phi Phong PhÖ Quang (hãa gi¶i s¸t th­¬ng)(0,1,3476,0,5,7), unbind = 0, bind = 50
[Normal]Item: Phi Phong PhÖ Quang ( träng kÝch)(0,1,3477,0,5,7), unbind = 0, bind = 50
[Normal]Item: Phi Phong KhÊp ThÇn (dÞch chuyÓn tøc thêi)(0,1,3478,0,5,8), unbind = 0, bind = 50
[Normal]Item: Phi Phong Kh¾p ThÇn(Hãa Gi¶i S¸t Th­¬ng)(0,1,3479,0,5,8), unbind = 0, bind = 50
[Normal]Item: Phi Phong KhÊp ThÇn (träng kÝch)(0,1,3480,0,5,8), unbind = 0, bind = 50
[Normal]Item: Phi phong K×nh Thiªn(0,1,3481,0,5,9), unbind = 0, bind = 50
[Normal]Item: Phi phong K×nh Thiªn(0,1,3482,0,5,9), unbind = 0, bind = 50
[Normal]Item: Phi phong K×nh Thiªn(0,1,3483,0,5,9), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3484,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3485,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi phong V« Cùc(0,1,3486,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong cao cÊp(0,1,3487,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong cao cÊp(0,1,3488,0,5,10), unbind = 0, bind = 50
[Normal]Item: Phi Phong cao cÊp(0,1,3489,0,5,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo B¸ KhÝ H¹ng Liªn(0,1,8726,1,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo B¸ KhÝ Qu¸n(0,1,8727,4,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo B¸ KhÝ Ngù Qu©n ChØ Hoµn(0,1,8728,0,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo B¸ KhÝ Thóc UyÓn(0,1,8729,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo B¸ KhÝ Yªu §íi(0,1,8730,0,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo B¸ KhÝ Gi¸p Y(0,1,8731,4,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo B¸ KhÝ ThuÉn(0,1,8732,8,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo B¸ KhÝ Ngoa(0,1,8733,0,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo B¸ KhÝ Yªu Trôy(0,1,8734,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo B¸ KhÝ TrÊn S¬n ChØ Hoµn(0,1,8735,0,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo B¸ KhÝ TrÊn S¬n ChØ Hoµn(0,1,8735,0,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo B¸ KhÝ Yªu Trôy(0,1,8734,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo B¸ KhÝ Ngoa(0,1,8733,0,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo B¸ KhÝ ThuÉn(0,1,8732,8,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo B¸ KhÝ Gi¸p Y(0,1,8731,4,1,10), unbind = 0, bind = 60000
