ÅçèêùÅçèêùItemGenre	DetailType	ParticularType	Series	Level	IsNew	money	FuYuan	Coin	Score	GoldCoin	Contribution	Honour	GoldCoinScore	Ω±“π∫ŒÔ∑µªπµƒΩ±“ª˝∑÷	UniPriceType	UniPriceAmount	SaleLogRequired	CurrentPrice	PromotionBeginDate	PromotionEndDate	SaleBeginDate	SaleEndDate	ExpiredTime£®minute or YYYYmmdd£©	UsedTime£®minute or OnlineTime£©	ConsumeType(0-once;1-unlimit)	comment
1	0	0	0	1		50											0									Kim S∏ng D≠Óc (ti”u) 
1	0	0	0	2		100											0									Kim S∏ng D≠Óc (trung) 
1	0	0	0	3		250											0									Kim S∏ng D≠Óc (Æπi) 
1	0	0	0	4		500											0									HÂi Thi™n Æan
1	0	0	0	5		2000											0									Cˆu Chuy”n Hoµn HÂn Æan
1	1	0	0	1		50											0									Ng≠ng Th«n Æan (ti”u) 
1	1	0	0	2		100											0									Ng≠ng Th«n Æan (trung) 
1	1	0	0	3		250											0									Ng≠ng Th«n Æan (Æπi) 
1	1	0	0	4		500											0									ßπi BÊ t∏n
1	1	0	0	5		2000											0									§ Æ«u Hoµn th«n Æan
1	2	0	0	1		80											0									Thıa Ti™n MÀt (ti”u) 
1	2	0	0	2		150											0									Thıa Ti™n MÀt (trung) 
1	2	0	0	3		375											0									Thıa Ti™n MÀt (Æπi) 
1	2	0	0	4		750											0									Th t Khi’u BÊ t©m Æan
1	2	0	0	5		3000											0									NgÚ Hoa Ng‰c LÈ Hoµn
1	3	0	0	1		50											0									Tam Hoa T∏n 
1	3	0	0	3		50											0									B∏nh Trung Thu h≠ 
1	4	0	0	1		10											0									Thanh Ng≠u Gi∂i ÆÈc t∏n
1	4	0	0	2		20											0									Hoæc H≠¨ng Ch›nh kh› hoµn
1	4	0	0	3		50											0									Tam ThuÀn t∏n
1	4	0	0	4		100											0									Ng©n Ki“u Kh¯ ÆÈc Æan
1	4	0	0	5		200											0									Long ßµm H„a ßÈc Æan
0	0	0	4	1		100											0									(Ch≠a c„ t™n) 0_0_0_4_1
0	0	0	4	2		1200											0									(Ch≠a c„ t™n) 0_0_0_4_2
0	0	0	4	3		2700											0									(Ch≠a c„ t™n) 0_0_0_4_3
0	0	0	4	4		4800											0									(Ch≠a c„ t™n) 0_0_0_4_4
0	0	0	4	5		7500											0									(Ch≠a c„ t™n) 0_0_0_4_5
0	0	0	4	6		10800											0									(Ch≠a c„ t™n) 0_0_0_4_6
0	0	0	4	7		15000											0									(Ch≠a c„ t™n) 0_0_0_4_7
0	0	0	4	8		20000											0									(Ch≠a c„ t™n) 0_0_0_4_8
0	0	0	4	9		25000											0									(Ch≠a c„ t™n) 0_0_0_4_9
0	0	0	4	10		30000											0									(Ch≠a c„ t™n) 0_0_0_4_10
0	0	1	3	1		100											0									(Ch≠a c„ t™n) 0_0_1_3_1
0	0	1	3	2		1200											0									(Ch≠a c„ t™n) 0_0_1_3_2
0	0	1	3	3		2700											0									(Ch≠a c„ t™n) 0_0_1_3_3
0	0	1	3	4		4800											0									(Ch≠a c„ t™n) 0_0_1_3_4
0	0	1	3	5		7500											0									(Ch≠a c„ t™n) 0_0_1_3_5
0	0	1	3	6		10800											0									(Ch≠a c„ t™n) 0_0_1_3_6
