SuiteNo	ActivateCount1	ActivateCount2
1	3	5
2	3	5
3	3	5
4	3	5
5	3	5
6	3	5
7	3	5
8	3	5
9	3	5
10	3	5
11	3	5
12	3	5
13	3	5
14	3	5
15	3	5
16	3	5
17	3	5
18	3	5
19	3	5
20	3	5
21	3	5
22	3	5
23	3	5
24	4	7
25	4	7
26	4	7
27	4	7
28	4	7
29	4	7
30	4	7
31	4	7
32	4	7
33	4	7
34	4	7
35	4	7
36	4	7
37	4	7
38	4	7
39	4	7
40	4	7
41	4	7
42	4	7
43	4	7
44	4	7
45	4	7
46	4	7
47	4	7
48	4	7
49	4	7
50	4	7
51	4	7
52	4	7
53	4	7
54	4	7
55	4	7
56	4	7
57	4	7
58	4	7
59	4	7
60	4	7
61	4	7
62	4	7
63	4	7
64	4	7
65	4	7
66	4	7
67	4	7
68	4	7
69	4	7
70	4	7
71	4	7
72	4	7
73	4	7
74	4	7
75	4	7
76	4	7
77	4	7
78	4	7
79	4	7
80	4	7
81	4	7
82	4	7
83	4	7
84	4	7
85	4	7
86	4	7
87	4	7
88	4	7
89	4	7
90	4	7
91	4	7
92	4	7
93	4	7
94	4	7
95	4	7
96	4	7
97	4	7
98	4	7
99	4	7
100	4	7
101	4	7
102	4	7
103	4	7
104	4	7
105	4	7
106	4	7
107	4	7
108	4	7
109	4	7
110	4	7
111	4	7
112	4	7
113	4	7
114	4	7
115	4	7
116	4	7
117	4	7
118	4	7
119	4	7
120	4	7
121	4	7
122	4	7
123	4	7
124	4	7
125	4	7
126	4	7
127	4	7
128	4	7
129	4	7
130	4	7
131	4	7
132	4	7
133	4	7
134	4	7
135	4	7
136	4	7
137	4	7
138	4	7
139	4	7
140	4	7
141	4	7
142	4	7
143	4	7
144	4	7
145	4	7
146	4	7
147	4	7
148	4	7
149	4	7
150	4	7
151	4	7
152	4	7
153	4	7
154	4	7
155	4	7
156	4	7
157	4	7
158	4	7
159	4	7
160	4	7
161	4	7
162	4	7
163	4	7
164	4	7
165	4	7
166	4	7
167	4	7
168	4	7
169	4	7
170	4	7
171	4	7
172	4	7
173	4	7
174	4	7
175	4	7
176	4	7
177	4	7
178	4	7
179	4	7
180	4	7
181	4	7
182	4	7
183	4	7
184	4	7
185	4	7
186	4	7
187	4	7
188	4	7
189	4	7
190	4	7
191	4	7
192	4	7
193	4	7
194	4	7
195	4	7
196	4	7
197	4	7
198	4	7
199	4	7
200	4	7
201	4	7
202	4	7
203	4	7
204	4	7
205	4	7
206	4	7
207	4	7
208	4	7
209	4	7
210	4	7
211	4	7
212	4	7
213	4	7
214	4	7
215	4	7
216	4	7
217	4	7
218	4	7
219	4	7
220	4	7
221	4	7
222	4	7
223	4	7
224	4	7
225	4	7
226	4	7
227	4	7
228	4	7
229	4	7
230	4	7
231	4	7
232	4	7
233	4	7
234	4	7
235	4	7
236	4	7
237	4	7
238	4	7
239	4	7
240	4	7
241	4	7
242	4	7
243	4	7
244	4	7
245	4	7
246	4	7
247	4	7
248	4	7
249	4	7
250	4	7
251	4	7
252	4	7
253	4	7
361	2	2
360	3	5
362	4	7
363	4	7
364	4	7
365	4	7
366	4	7
367	4	7
368	4	7
369	4	7
370	4	7
371	4	7
372	4	7
373	4	7
374	4	7
375	4	7
376	4	7
377	4	7
378	4	7
379	4	7
380	4	7
381	4	7
385	2	2
386	1	1
493	4	7
494	4	7
495	4	7
496	4	7
497	4	7
498	4	7
499	4	7
500	4	7
501	4	7
502	4	7
503	4	7
504	4	7
505	4	7
506	4	7
507	4	7
508	4	7
509	4	7
510	4	7
511	4	7
512	4	7
513	4	7
514	4	7
515	4	7
516	4	7
517	4	7
518	4	7
519	4	7
520	4	7
521	4	7
522	4	7
523	4	7
524	4	7
525	4	7
526	4	7
527	4	7
528	4	7
529	4	7
530	4	7
531	4	7
532	4	7
533	4	7
534	4	7
535	4	7
536	4	7
537	4	7
538	4	7
539	4	7
540	4	7
541	4	7
542	4	7
576	4	7
577	4	7
578	4	7
579	4	7
580	4	7
581	4	7
582	4	7
583	4	7
584	4	7
585	4	7
586	4	7
587	4	7
588	4	7
589	4	7
590	4	7
591	4	7
592	4	7
593	4	7
594	4	7
595	4	7
596	4	7
597	4	7
598	4	7
599	4	7
609	4	7
610	4	7
611	4	7
612	4	7
613	4	7
614	4	7
615	4	7
616	4	7
617	4	7
618	4	7
619	4	7
620	4	7
621	4	7
622	4	7
623	4	7
624	4	7
625	4	7
626	4	7
627	4	7
628	4	7
629	4	7
630	4	7
631	4	7
632	4	7
633	4	7
634	4	7
635	4	7
671	4	7
672	4	7
673	4	7
674	4	7
675	4	7
676	4	7
677	4	7
678	4	7
679	4	7
680	4	7
681	4	7
682	4	7
683	4	7
684	4	7
685	4	7
686	4	7
687	4	7
688	4	7
689	4	7
690	4	7
691	4	7
692	4	7
693	4	7
694	4	7
695	4	7
696	4	7
697	4	7
698	4	7
699	4	7
700	4	7
701	4	7
702	4	7
703	4	7
704	4	7
705	4	7
706	4	7
707	4	7
708	4	7
709	4	7
710	4	7
711	4	7
712	4	7
713	4	7
714	4	7
715	4	7
716	4	7
717	4	7
718	4	7
719	4	7
720	4	7
721	4	7
722	4	7
723	4	7
