NAME	GENRE	DETAILTYPE	PARTICULAR	VALUE%
九节菖蒲鞋	0	5	0	85
天蚕靴	0	5	1	100
金缕鞋	0	5	2	45
飞凤靴	0	5	3	50
天蚕腰带	0	6	0	85
白金腰带	0	6	1	100
毗卢帽	0	7	0	75
五老冠	0	7	1	45
修罗发结	0	7	2	90
通天发冠	0	7	3	100
掩日盔	0	7	4	90
摘星环	0	7	5	80
乌蚕帽	0	7	6	55
观音法冠	0	7	7	40
阴阳无极冠	0	7	8	35
玄犀面罩	0	7	9	45
龙血头环	0	7	10	40
龙鳞盔	0	7	11	35
青星钗	0	7	12	50
金凤展翅	0	7	13	40
龙凤血玉镯	0	8	0	60
天蚕护腕	0	8	1	100
七宝袈裟	0	2	0	65
真武圣衣	0	2	1	40
千忍秘装	0	2	2	85
绛纱袍	0	2	3	95
唐猊甲	0	2	4	100
万流归宗衣	0	2	5	55
璇龙袍	0	2	6	50
七宝袈裟（女）	0	2	7	35
龙绡道衣	0	2	8	25
九尾白狐裘	0	2	9	50
沉香衫	0	2	10	35
霹雳金凤甲	0	2	11	50
万众齐心衣	0	2	12	30
留仙裙	0	2	13	25
七宝袈裟	0	2	14	65
真武圣衣	0	2	15	40
千忍秘装	0	2	16	85
绛纱袍	0	2	17	95
唐猊甲	0	2	18	100
万流归宗衣	0	2	19	55
璇龙袍	0	2	20	50
七宝袈裟（女）	0	2	21	35
龙绡道衣	0	2	22	25
九尾白狐裘	0	2	23	50
沉香衫	0	2	24	35
霹雳金凤甲	0	2	25	50
万众齐心衣	0	2	26	30
留仙裙	0	2	27	25
