NAME	GENRE	INDEX	VALUE
梦龙之正黄僧帽	0	1	100000
梦龙之金丝正红袈裟	0	2	700000000
梦龙之玄丝法带	0	3	300000
梦龙之佛法玄佩	0	4	400000
梦龙之达摩僧鞋	0	5	500000
伏魔之紫金棍	0	6	800000000
伏魔之玄黄袈裟	0	7	700000
伏魔之乌金软绦	0	8	800000
伏魔之佛心软扣	0	9	900000
伏魔之普渡僧鞋	0	10	1000000
四空之降魔戒刀	0	11	2400000000
四空之紫金袈裟	0	12	120000
四空之护法腰带	0	13	130000
四空之软皮护腕	0	14	140000
四空之戒律法戒	0	15	150000
撼天之金环大眼神锤	0	16	8000000000
撼天之武神镶金甲	0	17	170000
撼天之威武束腰环	0	18	180000
撼天之虎头紧束腕	0	19	190000
撼天之乘龙战靴	0	20	200000
继业之奔雷钻龙枪	0	21	8000000000
继业之玄武黄金铠	0	22	800000000
继业之白虎无双扣	0	23	230000
继业之火云麒麟手	0	24	240000
继业之朱雀凌云靴	0	25	250000
御龙之亮银宝刀	0	26	1500000000
御龙之战神披挂甲	0	27	270000
御龙之天门束腰环	0	28	280000
御龙之迅风护腕	0	29	290000
御龙之绝命指环	0	30	300000
无间之倚天剑	0	31	2000000000
无间之清风缁衣	0	32	320000
无间之拂云丝带	0	33	330000
无间之琴韵护腕	0	34	340000
无间之白玉般指	0	35	350000
无魇之摩尼冠	0	36	360000
无魇之紫襟袈裟	0	37	370000
无魇之冰晶指环	0	38	380000
无魇之洗象玉扣	0	39	700000000
无魇之红缁软禢鞋	0	40	600000000
无尘之玉女素心冠	0	41	410000
无尘之清心向善珠	0	42	800000000
无尘之慈悲玉般指	0	43	430000
无尘之佛心慈佑腰配	0	44	440000
无尘之踏莎轻履	0	45	450000
栖凰之凤仪刀	0	46	2400000000
栖凰之慧心轻纱衣	0	47	470000
栖凰之风雪白云束带	0	48	480000
栖凰之冰踪锦腕	0	49	490000
栖凰之翠玉指环	0	50	500000
碧海之鸳鸯连环刀	0	51	800000000
碧海之环珠雨链	0	52	520000
碧海之红铃金丝带	0	53	530000
碧海之红铃波	0	54	500000000
碧海之纤细指环	0	55	550000
幽胧之金蛇发带	0	56	600000000
幽胧之赤蝎秘装	0	57	570000
幽胧之青蜈缠腰	0	58	580000
幽胧之银蟾护手	0	59	590000
幽胧之墨蛛软履	0	60	400000000
冥幻之邪刹毒刃	0	61	1500000000
冥幻之幽蛊暗衣	0	62	620000
冥幻之毒蝎指环	0	63	630000
冥幻之腐骨护腕	0	64	640000
冥幻之双环蛇鞋	0	65	650000
咒缚之破甲头环	0	66	660000
咒缚之灭雷颈符	0	67	800000000
咒缚之幽幻指环	0	68	680000
咒缚之穿心毒腕	0	69	690000
咒缚之冰火蚀骨靴	0	70	700000
冰寒之弹指飞刀	0	71	1800000000
冰寒之玄衣束甲	0	72	720000
冰寒之心箭腰扣	0	73	730000
冰寒之玄天冰火佩	0	74	740000
冰寒之月影靴	0	75	750000
天光之花雨漫天	0	76	1800000000
天光之定心凝神符	0	77	770000
天光之森罗束腰	0	78	780000
天光之风暴寒铁镯	0	79	790000
天光之束天缚地环	0	80	800000
森荒之飞星夺魂	0	81	1200000000
森荒之金钱连环甲	0	82	820000
森荒之魂咬腰束	0	83	830000
森荒之玄铁镶玉佩	0	84	840000
森荒之星陨飞履	0	85	850000
地魄之五行连环冠	0	86	860000
地魄之黑焰冲天链	0	87	800000000
地魄之霹雳雷火戒	0	88	880000
地魄之扣心镯	0	89	890000
地魄之地行千里靴	0	90	900000
同仇之飞龙头环	0	91	910000
同仇之降龙丐衣	0	92	600000000
同仇之潜龙腰带	0	93	930000
同仇之亢龙护手	0	94	1200000000
同仇之见龙扳指	0	95	950000
敌忾之绿玉杖	0	96	2000000000
敌忾之九袋丐衣	0	97	970000
敌忾之缠莽腰带	0	98	980000
敌忾之狗脊皮护腕	0	99	990000
敌忾之草间石戒	0	100	1000000
魔煞之鬼谷幽冥枪	0	101	2400000000
魔煞之残阳映血甲	0	102	1020000
魔煞之赤骥锁腰扣	0	103	1030000
魔煞之举火燎天腕	0	104	1040000
魔煞之云龙吐珠戒	0	105	1050000
魔煌之金甲盔	0	106	500000000
魔煌之按出虎项圈	0	107	750000000
魔煌之溪谷束腰带	0	108	1080000
魔煌之血衣兽镯	0	109	1090000
魔煌之蹬踏靴	0	110	1100000
魔嗜之烈焰冠冕	0	111	1110000
魔嗜之厉魔噬心链	0	112	1120000
魔嗜之业火幽冥戒	0	113	1130000
