HEADER	MAGIC_DESC	加伤害强化	加命中率	加攻击速度	忽略对手防御	永不磨损	加防御强化	加快跑步速度	反弹物理攻击	快速打击回复	加黑暗处视野范围	加技能	加四防	偷血	偷内力	加生命最大值上限	加内力上限	加体力上限	加生命恢复速度	加内力恢复速度	加体力恢复速度	加力量	加物理伤害	加毒伤害	加冰伤害	加火伤害	加电伤害	物理伤害吸收（转化为内力提高）	物免百分比	加抗毒性	加抗冰性	加抗火性	加抗电性	加体质	免疫眩晕状态	加运气	降低冰冻时间	加敏捷	降低中毒时间	加金系技能	加水系技能	加木系技能	加火系技能	加土系技能	加金系技能伤害	加水系技能伤害	加火系技能伤害	加土系技能伤害	加木系技能伤害
MAGIC_DESC	MAGIC_ID	126	166	115	58	43	150	111	117	113	112	139	114	136	137	85	89	93	88	92	96	97	121	125	123	122	124	134	104	101	105	102	103	99	110	135	106	98	108	140	142	141	143	144	168	169	170	171	172
加伤害强化	126	100	105	120	110	100	100	100	100	100	100	100	100	120	120	105	105	100	100	100	100	100	150	105	150	100	100	100	100	100	100	105	100	105	105	100	100	100	100	100	100	100	100	100	100	100	100	100	100
加命中率	166		100	105	120	100	100	100	100	100	100	100	100	105	105	105	105	100	100	100	100	100	110	105	120	100	100	100	100	100	100	105	100	105	105	100	100	100	100	100	100	100	100	100	100	100	100	100	100
加攻击速度	115			100	100	100	100	100	100	100	100	100	100	120	120	110	105	100	100	100	100	100	800	240	1000	100	100	100	100	100	100	105	100	102	105	100	100	100	100	100	100	100	100	100	100	100	100	100	100
忽略对手防御	58				100	100	100	100	100	100	100	100	100	102	100	102	100	100	100	100	100	100	102	100	120	100	100	100	100	100	100	100	100	102	102	100	102	102	102	100	100	100	100	100	100	100	100	100	100
永不磨损	43					100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
加防御强化	150						100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
加快跑步速度	111							100	100	100	100	100	100	100	100	130	105	100	150	100	100	100	100	100	100	100	100	100	300	200	300	350	350	105	150	100	150	105	105	100	100	100	100	100	100	100	100	100	100
反弹物理攻击	117								100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
快速打击回复	113									100	100	100	100	100	100	130	105	100	150	100	100	100	100	100	100	100	100	100	300	200	300	350	350	105	110	100	150	105	105	100	100	100	100	100	100	100	100	100	100
加黑暗处视野范围	112										100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
加技能	139											100	100	110	110	102	101	100	100	100	100	100	110	102	120	100	100	100	100	100	100	100	100	100	102	100	102	100	100	100	100	100	100	100	110	110	110	110	110
加四防	114												100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
偷血	136													100	100	105	100	100	100	100	100	100	150	120	150	100	100	100	105	105	105	105	105	102	105	100	105	102	102	100	100	100	100	100	100	100	100	100	100
偷内力	137														100	102	102	100	100	100	100	100	300	120	150	100	100	100	105	105	105	105	105	102	105	100	105	102	102	100	100	100	100	100	100	100	100	100	100
加生命最大值上限	85															100	120	100	120	100	100	102	110	105	105	100	100	100	120	150	150	150	150	102	105	100	110	105	105	100	100	100	100	100	110	110	110	110	110
加内力上限	89																100	100	105	100	100	100	102	100	102	100	100	100	102	105	105	105	105	100	100	100	102	100	100	100	100	100	100	100	102	102	102	102	102
加体力上限	93																	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
加生命恢复速度	88																		100	100	100	100	100	100	100	100	100	100	110	130	130	130	130	102	105	100	105	102	102	100	100	100	100	100	100	100	100	100	100
加内力恢复速度	92																			100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
加体力恢复速度	96																				100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
加力量	97																					100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
