suffix name	Whether to prefix	Five Elements Attribute Requirements	Level requirements	Property adjustment category	Parameter 1 minimum value	Parameter 1 maximum value	Parameter 2 minimum value	Parameter 2 maximum value	Parameter 3 minimum value	Parameter 3 maximum value	Effect description	close range weapons	hidden weapon	armor	ring	necklace	boots	belt	helmet	wrist braces	waist pendant	horse
STVL ngo¹i c«ng (%)	1		1	126	5	10	-1	-1	6	6	T¨ng s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng 	100000	100000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (%)	1		2	126	10	20	-1	-1	6	6	T¨ng s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng 	100000	100000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (%)	1		3	126	20	30	-1	-1	6	6	T¨ng s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng 	100000	100000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (%)	1		4	126	30	40	-1	-1	6	6	T¨ng s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng 	100000	100000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (%)	1		5	126	40	50	-1	-1	6	6	T¨ng s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng 	100000	100000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (%)	1		6	126	50	60	-1	-1	6	6	T¨ng s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng 	100000	100000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (%)	1		7	126	60	70	-1	-1	6	6	T¨ng s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng 	100000	100000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (%)	1		8	126	70	80	-1	-1	6	6	T¨ng s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng 	100000	100000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (%)	1		9	126	80	90	-1	-1	6	6	T¨ng s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng 	100000	100000	0	0	0	0	0	0	0	0	0
STVL ngo¹i c«ng (%)	1		10	126	90	100	-1	-1	6	6	T¨ng s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng 	100000	100000	0	0	0	0	0	0	0	0	0
TØ lÖ c«ng kÝch chÝnh x¸c	1		1	166	10	30	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
TØ lÖ c«ng kÝch chÝnh x¸c	1		2	166	30	60	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
TØ lÖ c«ng kÝch chÝnh x¸c	1		3	166	60	90	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
TØ lÖ c«ng kÝch chÝnh x¸c	1		4	166	90	120	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
TØ lÖ c«ng kÝch chÝnh x¸c	1		5	166	120	150	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
