物品索引（行数减1）	物品最大叠放值	要求等级相同	要求五行相同	要求幸运相同	要求MagicLevel1相同	要求MagicLevel2相同	要求MagicLevel3相同	要求MagicLevel4相同	要求MagicLevel5相同	要求MagicLevel6相同
197	100	0	0	0	0	0	0	0	0	0
198	50	0	0	0	0	0	0	0	0	0
199	50	0	0	0	0	0	0	0	0	0
148	10	0	0	0	0	0	0	0	0	0
150	10	0	0	0	0	0	0	0	0	0
151	10	0	0	0	0	0	0	0	0	0
152	10	0	0	0	0	0	0	0	0	0
153	10	0	0	0	0	0	0	0	0	0
154	10	0	0	0	0	0	0	0	0	0
155	10	0	0	0	0	0	0	0	0	0
160	50	0	0	0	0	0	0	0	0	0
157	50	0	0	0	0	0	0	0	0	0
158	50	0	0	0	0	0	0	0	0	0
159	50	0	0	0	0	0	0	0	0	0
179	50	0	0	0	0	0	0	0	0	0
180	50	0	0	0	0	0	0	0	0	0
181	50	0	0	0	0	0	0	0	0	0
182	50	0	0	0	0	0	0	0	0	0
183	50	0	0	0	0	0	0	0	0	0
184	50	0	0	0	0	0	0	0	0	0
185	50	0	0	0	0	0	0	0	0	0
186	50	0	0	0	0	0	0	0	0	0
187	50	0	0	0	0	0	0	0	0	0
188	50	0	0	0	0	0	0	0	0	0
189	50	0	0	0	0	0	0	0	0	0
190	50	0	0	0	0	0	0	0	0	0
191	50	0	0	0	0	0	0	0	0	0
192	50	0	0	0	0	0	0	0	0	0
193	50	0	0	0	0	0	0	0	0	0
194	50	0	0	0	0	0	0	0	0	0
195	50	0	0	0	0	0	0	0	0	0
196	50	0	0	0	0	0	0	0	0	0
213	50	0	0	0	0	0	0	0	0	0
215	50	0	0	0	0	0	0	0	0	0
216	10	0	0	0	0	0	0	0	0	0
217	10	0	0	0	0	0	0	0	0	0
218	10	0	0	0	0	0	0	0	0	0
148	50	1	0	0	0	0	0	0	0	0
150	50	0	0	0	0	0	0	0	0	0
151	50	0	1	0	0	0	0	0	0	0
152	50	0	0	0	0	0	0	0	0	0
153	50	0	1	0	0	0	0	0	0	0
154	50	0	0	0	0	0	0	0	0	0
155	50	0	1	0	0	0	0	0	0	0
394	50	0	0	0	0	0	0	0	0	0
395	50	0	0	0	0	0	0	0	0	0
396	50	0	0	0	0	0	0	0	0	0
397	50	0	0	0	0	0	0	0	0	0
398	50	0	0	0	0	0	0	0	0	0
404	100	0	0	0	0	0	0	0	0	0
405	100	0	0	0	0	0	0	0	0	0
406	100	0	0	0	0	0	0	0	0	0
407	100	0	0	0	0	0	0	0	0	0
981	50	0	0	0	0	0	0	0	0	0
982	50	0	0	0	0	0	0	0	0	0
983	50	0	0	0	0	0	0	0	0	0
984	50	0	0	0	0	0	0	0	0	0
985	50	0	0	0	0	0	0	0	0	0
986	50	0	0	0	0	0	0	0	0	0
987	50	0	0	0	0	0	0	0	0	0
988	50	0	0	0	0	0	0	0	0	0
989	50	0	0	0	0	0	0	0	0	0
990	50	0	0	0	0	0	0	0	0	0
991	50	0	0	0	0	0	0	0	0	0
992	50	0	0	0	0	0	0	0	0	0
993	50	0	0	0	0	0	0	0	0	0
994	50	0	0	0	0	0	0	0	0	0
995	50	0	0	0	0	0	0	0	0	0
996	50	0	0	0	0	0	0	0	0	0
997	50	0	0	0	0	0	0	0	0	0
1012	50	0	0	0	0	0	0	0	0	0
1013	50	0	0	0	0	0	0	0	0	0
1038	50	0	0	0	0	0	0	0	0	0
1039	50	0	0	0	0	0	0	0	0	0
1040	50	0	0	0	0	0	0	0	0	0
1041	50	0	0	0	0	0	0	0	0	0
1042	50	0	0	0	0	0	0	0	0	0
1043	50	0	0	0	0	0	0	0	0	0
1044	50	0	0	0	0	0	0	0	0	0
1045	50	0	0	0	0	0	0	0	0	0
1046	50	0	0	0	0	0	0	0	0	0
1047	50	0	0	0	0	0	0	0	0	0
1048	50	0	0	0	0	0	0	0	0	0
1049	50	0	0	0	0	0	0	0	0	0
1050	50	0	0	0	0	0	0	0	0	0
1051	50	0	0	0	0	0	0	0	0	0
13	50	0	0	0	0	0	0	0	0	0
22	50	0	0	0	0	0	0	0	0	0
1015	50	0	0	0	0	0	0	0	0	0
1016	50	0	0	0	0	0	0	0	0	0
1020	50	0	0	0	0	0	0	0	0	0
1062	50	0	0	0	0	0	0	0	0	0
1063	50	0	0	0	0	0	0	0	0	0
1067	50	0	0	0	0	0	0	0	0	0
1068	50	0	0	0	0	0	0	0	0	0
1069	50	0	0	0	0	0	0	0	0	0
1070	50	0	0	0	0	0	0	0	0	0
1079	50	0	0	0	0	0	0	0	0	0
1080	50	0	0	0	0	0	0	0	0	0
1081	50	0	0	0	0	0	0	0	0	0
1082	50	0	0	0	0	0	0	0	0	0
1083	50	0	0	0	0	0	0	0	0	0
1115	50	0	0	0	0	0	0	0	0	0
1116	50	0	0	0	0	0	0	0	0	0
1117	50	0	0	0	0	0	0	0	0	0
1118	50	0	0	0	0	0	0	0	0	0
1129	50	0	0	0	0	0	0	0	0	0
1130	50	0	0	0	0	0	0	0	0	0
1131	50	0	0	0	0	0	0	0	0	0
1132	50	0	0	0	0	0	0	0	0	0
1133	50	0	0	0	0	0	0	0	0	0
1134	5	0	0	0	0	0	0	0	0	0
1135	5	0	0	0	0	0	0	0	0	0
1136	5	0	0	0	0	0	0	0	0	0
1137	5	0	0	0	0	0	0	0	0	0
1138	5	0	0	0	0	0	0	0	0	0
1178	50	0	0	0	0	0	0	0	0	0
1179	50	0	0	0	0	0	0	0	0	0
1180	50	0	0	0	0	0	0	0	0	0
1181	50	0	0	0	0	0	0	0	0	0
1224	50	0	0	0	0	0	0	0	0	0
1225	50	0	0	0	0	0	0	0	0	0
1226	50	0	0	0	0	0	0	0	0	0
1227	50	0	0	0	0	0	0	0	0	0
1228	50	0	0	0	0	0	0	0	0	0
1229	50	0	0	0	0	0	0	0	0	0
1230	50	0	0	0	0	0	0	0	0	0
1231	50	0	0	0	0	0	0	0	0	0
1259	50	0	0	0	0	0	0	0	0	0
1232	50	0	0	0	0	0	0	0	0	0
1233	50	0	0	0	0	0	0	0	0	0
1234	50	0	0	0	0	0	0	0	0	0
1235	50	0	0	0	0	0	0	0	0	0
1236	50	0	0	0	0	0	0	0	0	0
1237	50	0	0	0	0	0	0	0	0	0
1244	5	0	0	0	0	0	0	0	0	0
1245	5	0	0	0	0	0	0	0	0	0
1246	5	0	0	0	0	0	0	0	0	0
1247	5	0	0	0	0	0	0	0	0	0
1248	5	0	0	0	0	0	0	0	0	0
1249	10	0	0	0	0	0	0	0	0	0
1293	10	0	0	0	0	0	0	0	0	0
1294	10	0	0	0	0	0	0	0	0	0
1318	50	0	0	0	0	0	0	0	0	0
1319	50	0	0	0	0	0	0	0	0	0
1320	50	0	0	0	0	0	0	0	0	0
1321	50	0	0	0	0	0	0	0	0	0
1322	50	0	0	0	0	0	0	0	0	0
1323	50	0	0	0	0	0	0	0	0	0
1324	50	0	0	0	0	0	0	0	0	0
1325	50	0	0	0	0	0	0	0	0	0
1326	50	0	0	0	0	0	0	0	0	0
1327	50	0	0	0	0	0	0	0	0	0
1328	50	0	0	0	0	0	0	0	0	0
1329	50	0	0	0	0	0	0	0	0	0
1330	50	0	0	0	0	0	0	0	0	0
1331	50	0	0	0	0	0	0	0	0	0
1332	50	0	0	0	0	0	0	0	0	0
1333	50	0	0	0	0	0	0	0	0	0
1334	50	0	0	0	0	0	0	0	0	0
1378	50	0	0	0	0	0	0	0	0	0
1379	50	0	0	0	0	0	0	0	0	0
1380	50	0	0	0	0	0	0	0	0	0
1381	50	0	0	0	0	0	0	0	0	0
1382	50	0	0	0	0	0	0	0	0	0
1367	50	0	0	0	0	0	0	0	0	0
1396	20	0	0	0	0	0	0	0	0	0
1397	20	0	0	0	0	0	0	0	0	0
1398	20	0	0	0	0	0	0	0	0	0
1426	20	0	0	0	0	0	0	0	0	0
1427	20	0	0	0	0	0	0	0	0	0
1428	20	0	0	0	0	0	0	0	0	0
1429	20	0	0	0	0	0	0	0	0	0
1430	20	0	0	0	0	0	0	0	0	0
1431	20	0	0	0	0	0	0	0	0	0
1432	20	0	0	0	0	0	0	0	0	0
1433	20	0	0	0	0	0	0	0	0	0
1434	20	0	0	0	0	0	0	0	0	0
1435	20	0	0	0	0	0	0	0	0	0
1474	20	0	0	0	0	0	0	0	0	0
1476	20	0	0	0	0	0	0	0	0	0
1480	20	0	0	0	0	0	0	0	0	0
1494	50	0	0	0	0	0	0	0	0	0
1495	50	0	0	0	0	0	0	0	0	0
1496	50	0	0	0	0	0	0	0	0	0
1497	50	0	0	0	0	0	0	0	0	0
1500	50	0	0	0	0	0	0	0	0	0
1501	50	0	0	0	0	0	0	0	0	0
1502	50	0	0	0	0	0	0	0	0	0
1503	50	0	0	0	0	0	0	0	0	0
1527	100	0	0	0	0	0	0	0	0	0
1528	100	0	0	0	0	0	0	0	0	0
1529	100	0	0	0	0	0	0	0	0	0
1530	100	0	0	0	0	0	0	0	0	0
1531	100	0	0	0	0	0	0	0	0	0
1532	100	0	0	0	0	0	0	0	0	0
1533	100	0	0	0	0	0	0	0	0	0
1534	10	0	0	0	0	0	0	0	0	0
1535	10	0	0	0	0	0	0	0	0	0
1536	10	0	0	0	0	0	0	0	0	0
1537	10	0	0	0	0	0	0	0	0	0
1538	10	0	0	0	0	0	0	0	0	0
1639	100	0	0	0	0	0	0	0	0	0
1640	100	0	0	0	0	0	0	0	0	0
1641	100	0	0	0	0	0	0	0	0	0
1642	100	0	0	0	0	0	0	0	0	0
1643	100	0	0	0	0	0	0	0	0	0
