Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1(0¼¶)	Ä§·¨ÊôÐÔË÷Òý1(10¼¶)	Ä§·¨ÊôÐÔË÷Òý2(0¼¶)	Ä§·¨ÊôÐÔË÷Òý2(10¼¶)	Ä§·¨ÊôÐÔË÷Òý3(0¼¶)	Ä§·¨ÊôÐÔË÷Òý3(10¼¶)	Ä§·¨ÊôÐÔË÷Òý4(0¼¶)	Ä§·¨ÊôÐÔË÷Òý4(10¼¶)	Ä§·¨ÊôÐÔË÷Òý5(0¼¶)	Ä§·¨ÊôÐÔË÷Òý5(10¼¶)	Ä§·¨ÊôÐÔË÷Òý6(0¼¶)	Ä§·¨ÊôÐÔË÷Òý6(10¼¶)	ËùÔÚÌ××°	6¼¶¼¼ÄÜID	10¼¶¼¼ÄÜID	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	»ù´¡±ø¼×Öµ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ	×¢ÁéÎ»ÖÃÊýÁ¿	ÏÔÊ¾Í¼±êID
[Thiªn Tø] Méng Long ChÝnh Hång T¨ng M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	360	360	31	85	85																36	120	32	160	39	0							2	616	624	624	46	591	311	598	599	601	450	450	1	768	798	1	1			2	7						
[Thiªn Tø] Méng Long Kim Ti ChÝnh Hång Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Trang bÞ B¹ch Kim	2	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	0							2	616	40	675	491	491	307	637	6	609	324	324	1	846	851	1	2			2	7						
[Thiªn Tø] Méng Long HuyÒn Ti Ph¸t §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ B¹ch Kim	0	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							418	4	309	639	651	651	311	598	416	641	417	31	1	775	807	1	3			2	7						
[Thiªn Tø] Méng Long PhËt Ph¸p HuyÒn Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bÞ B¹ch Kim	4	99999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			1	879	878	1	4			2	7						
[Thiªn Tø] Méng Long Tö Kim Bµn Nh­îc Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ B¹ch Kim	0	99999	10	0	31	80	80																			36	120	39	0									759	784	307	637	718	8	309	639	785	785	786	786	1	901	907	1	5			2	7						
[Thiªn Tø] Phôc Ma Tö Kim C«n	0	0	2	\spr\item\equip\closeweapon\obj-staff15.spr	11	1	4	Trang bÞ B¹ch Kim	0	99999	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	120	32	180	39	0							48	592	43	43	52	625	71	594	113	595	450	450	2	766	767	2	1			2	7						
[Thiªn Tø] Phôc Ma V« L­îng Kim C­¬ng UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	0							2	616	307	637	762	762	423	642	787	787	788	788	2	902	908	2	2			2	7						
[Thiªn Tø] Phôc Ma ¤ Kim NhuyÔn §iÒu	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	Trang bÞ B¹ch Kim	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							418	4	309	639	652	652	311	598	416	641	417	31	2	776	808	2	3			2	7						
[Thiªn Tø] Phôc Ma PhËt T©m NhuyÔn KhÊu	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bÞ B¹ch Kim	1	99999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			2	881	880	2	4			2	7						
[Thiªn Tø] Phôc Ma Phæ §é T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	616	325	325	320	588	88	419	6	609	437	309	2	848	852	2	5			2	7						
[Thiªn Tø] Tø Kh«ng Gi¸ng Ma Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	0	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	0							2	616	43	43	48	592	71	593	113	595	450	450	3	766	767	3	1			2	7						
