FEATURE	DESC	TEAM_MASK_PRICE	TONG_MASK_PRICE
140	易容面具-西北山贼首领	466	2187
141	易容面具-西南山贼首领	466	2187
142	易容面具-江南山贼首领	466	2187
143	易容面具-东北山贼首领	466	2187
144	易容面具-华北山贼首领	466	2187
145	易容面具-南部山贼首领	466	2187
148	易容面具-山贼首领	466	2187
0	易容面具-东北虎	780	3660
1	易容面具-华南虎	780	3660
2	易容面具-白虎	780	3660
149	易容面具-西北山贼甲	466	2187
150	易容面具-西北山贼乙	466	2187
151	易容面具-西南山贼甲	466	2187
152	易容面具-西南山贼乙	466	2187
153	易容面具-江南山贼甲	466	2187
154	易容面具-江南山贼乙	466	2187
155	易容面具-华南山贼甲	466	2187
3	易容面具-金钱豹	780	3660
5	易容面具-灰狼	780	3660
6	易容面具-火狼	780	3660
156	易容面具-华南山贼乙	466	2187
157	易容面具-东北山贼甲	466	2187
158	易容面具-东北山贼乙	466	2187
159	易容面具-华北山贼甲	466	2187
160	易容面具-华北山贼乙	466	2187
161	易容面具-中原山贼甲	466	2187
162	易容面具-中原山贼乙	466	2187
8	易容面具-雪狼	780	3660
9	易容面具-狐狸	780	3660
10	易容面具-红狐	780	3660
163	易容面具-山贼甲	466	2187
164	易容面具-山贼乙	466	2187
165	易容面具-山贼丙	466	2187
166	易容面具-山贼丁	466	2187
167	易容面具-山贼戊	466	2187
168	易容面具-山贼己	466	2187
169	易容面具-山贼庚	466	2187
11	易容面具-野猪	780	3660
15	易容面具-棕熊	780	3660
16	易容面具-黑熊	780	3660
176	易容面具-怪人	933	4375
190	易容面具-木人	933	4375
191	易容面具-铜人	933	4375
192	易容面具-女刺客	933	4375
193	易容面具-尼姑清和	933	4375
470	易容面具-妙隐	933	4375
471	易容面具-叶冰痕	933	4375
18	易容面具-扬子鳄	780	3660
19	易容面具-火蜥蜴	780	3660
21	易容面具-绿色蟒蛇	780	3660
473	易容面具-秦倚风	933	4375
474	易容面具-谢云萝	933	4375
476	易容面具-青莲子	933	4375
478	易容面具-童夕颜	933	4375
480	易容面具-魏了翁	933	4375
411	易容面具-战斗和尚	933	4375
483	易容面具-罗匡生	933	4375
22	易容面具-金环蟒蛇	780	3660
23	易容面具-赤练蟒蛇	780	3660
32	易容面具-猞猁	780	3660
485	易容面具-唐仇	933	4375
486	易容面具-唐闲	933	4375
487	易容面具-唐云	933	4375
488	易容面具-唐野	933	4375
491	易容面具-夏诚	933	4375
492	易容面具-黑面郎君	933	4375
493	易容面具-屠异	933	4375
33	易容面具-浣熊	780	3660
34	易容面具-灵猫	780	3660
35	易容面具-藏域猴	780	3660
412	易容面具-战斗尼姑	933	4375
49	易容面具-金国官员	933	4375
1042	易容面具-龙八	933	4375
501	易容面具-廖岐	933	4375
502	易容面具-凤翕如	933	4375
680	易容面具-徐自力	933	4375
505	易容面具-剑十三	933	4375
36	易容面具-灰叶猴	780	3660
37	易容面具-黑叶猴	780	3660
39	易容面具-豺	780	3660
506	易容面具-燕九	933	4375
507	易容面具-彭连德	933	4375
508	易容面具-刘飞龙	933	4375
509	易容面具-莫小莹	933	4375
510	易容面具-谭三腿	933	4375
652	易容面具-神秘中年男子	933	4375
664	易容面具-龙五	933	4375
40	易容面具-雪怪	780	3660
41	易容面具-蛤蟆	780	3660
44	易容面具-蝎子	780	3660
669	易容面具-路长天	933	4375
670	易容面具-武林人物	933	4375
671	易容面具-潘如龙	933	4375
673	易容面具-蒙古武士	933	4375
674	易容面具-水贼	933	4375
675	易容面具-荷花盗	933	4375
676	易容面具-龙追舞	933	4375
694	易容面具-廖定	1257	5892
45	易容面具-蜘蛛	780	3660
46	易容面具-蜈蚣	780	3660
54	易容面具-落光	571	2187
56	易容面具-银牙	571	2187
57	易容面具-霜刀	571	2187
59	易容面具-冷弓	571	2187
63	易容面具-寒枪	571	2187
94	易容面具-奔雷	571	2187
109	易容面具-独步	571	2187
113	易容面具-降锤	571	2187
134	易容面具-赤掌	571	2187
157	易容面具-狼棒	571	2187
851	易容面具-步嚣尘	571	2187
852	易容面具-乔鼎天	571	2187
853	易容面具-刁易刀	571	2187
854	易容面具-西门无戒	571	2187
855	易容面具-候乞剑	571	2187
856	易容面具-应啸风	571	2187
857	易容面具-袁念夕	571	2187
858	易容面具-褚天悯	571	2187
511	易容面具-张宗正	857	5357
523	易容面具-柳青青	857	5357
602	易容面具-扇客	857	5357
582	易容面具-蓝伊伊	1428	5892
566	易容面具-古柏	1428	5892
562	易容面具-道清真人	1428	5892
563	易容面具-耶律辟离	1428	5892
564	易容面具-完颜雪衣	1428	5892
565	易容面具-端木睿	1428	5892
567	易容面具-钟灵秀	1428	5892
568	易容面具-何怜飘	1428	5892
583	易容面具-孟沧浪	1428	5892
739	易容面具-王佐	1428	5892
740	易容面具-玄觉大师	1428	5892
741	易容面具-唐不染	1428	5892
742	易容面具-白莹莹	1428	5892
743	易容面具-清绝师太	1428	5892
744	易容面具-嫣晓倩	1428	5892
745	易容面具-何人我	1428	5892
746	易容面具-单思南	1428	5892
747	易容面具-璇玑子	1428	5892
748	易容面具-韩蒙	1428	5892
1138	易容面具-夏诚	1428	5892
1139	易容面具-苏词馨	1428	5892
1140	易容面具-唐天心	1428	5892
1061	易容面具-成年雷剑	1428	5892
1062	易容面具-成年笑霜	1428	5892
1063	易容面具-成年火刃	1428	5892
1064	易容面具-成年海棠	1428	5892
1065	易容面具-成年金锋	1428	5892
1043	易容面具-青年雷剑	1428	5892
1044	易容面具-青年笑霜	1428	5892
