Name	Type	Genre	Detail	Particular	Serise	Level	Param1	Param2	Param3	Param4	Param5	Param6	Proba	Costly	Msg	Log
1级玄晶	1	6	1	147	0	1	0						226680	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
梦龙之金丝正红袈裟	2	2	0	0	0	1	0						50	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
伏魔之紫金棍	2	6	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
四空之降魔戒刀	2	11	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
撼天之金环大眼神锤	2	16	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
继业之奔雷钻龙枪	2	21	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
御龙之亮银宝刀	2	26	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
无间之倚天剑	2	31	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
无魇之洗象玉扣	2	39	0	0	0	1	0						50	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
无尘之清心向善珠	2	42	0	0	0	1	0						50	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
栖凰之凤仪刀	2	46	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
碧海之鸳鸯连环刀	2	51	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
幽胧之墨蛛软履	2	60	0	0	0	1	0						50	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
冥幻之邪刹毒刃	2	61	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
咒缚之灭雷颈符	2	67	0	0	0	1	0						50	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
冰寒之弹指飞刀	2	71	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
天光之花雨漫天	2	76	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
森荒之飞星夺魂	2	81	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
地魄之黑焰冲天链	2	87	0	0	0	1	0						50	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
同仇之降龙丐衣	2	92	0	0	0	1	0						50	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
敌忾之绿玉杖	2	96	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
魔煞之鬼谷幽冥枪	2	101	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
魔煌之金甲盔	2	106	0	0	0	1	0						50	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
魔嗜之山海飞鸿履	2	115	0	0	0	1	0						50	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
凌岳之无极玄玉佩	2	119	0	0	0	1	0						30	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
及丰之真武剑	2	121	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
霜晶之千年寒铁	2	126	0	0	0	1	0						10	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
雷穹之天地护符	2	132	0	0	0	1	0						50	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
雾幻之北冥道冠	2	136	0	0	0	1	0						50	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
天煌龙器之龙抬头	2	168	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
天煌龙器之白龙息	2	169	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
天煌龙器之镇冥之链	2	170	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
天煌龙器之九现之指	2	171	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
天煌龙器之玉逍遥	2	172	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
天煌龙器之黄金鳞	2	173	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
天煌龙器之磐龙瑰	2	174	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
天煌龙器之龙哭千里	2	175	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
天煌龙器之怒龙之瞳	2	176	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
金枫之青阳盔	2	177	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
金枫之麒麟血	2	178	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
金枫之濯之链光	2	179	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
金枫之公谨三叹	2	180	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
金枫之夺魂玉带	2	181	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
金枫之后羿引弓	2	182	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
金枫之兰亭玉	2	183	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
金枫之千里草上飞	2	184	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
金枫之铜雀春深	2	185	0	0	0	1	0						5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
武林秘籍	1	6	1	26	0	1	0						1000	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
洗髓经	1	6	1	22	0	1	0						1000	1	<player>打开神秘大红包，惊喜地发现一个<name>。	1
6孔天蚕护腕	12	0	8	1	0	10	-1	-1	-1	-1	-1	-1	5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
6孔天蚕护腕	12	0	8	1	1	10	-1	-1	-1	-1	-1	-1	5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
6孔天蚕护腕	12	0	8	1	2	10	-1	-1	-1	-1	-1	-1	5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
6孔天蚕护腕	12	0	8	1	3	10	-1	-1	-1	-1	-1	-1	5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
6孔天蚕护腕	12	0	8	1	4	10	-1	-1	-1	-1	-1	-1	5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
6孔龙凤血玉镯	12	0	8	0	0	10	-1	-1	-1	-1	-1	-1	5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
6孔龙凤血玉镯	12	0	8	0	1	10	-1	-1	-1	-1	-1	-1	5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
6孔龙凤血玉镯	12	0	8	0	2	10	-1	-1	-1	-1	-1	-1	5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
6孔龙凤血玉镯	12	0	8	0	3	10	-1	-1	-1	-1	-1	-1	5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
6孔龙凤血玉镯	12	0	8	0	4	10	-1	-1	-1	-1	-1	-1	5000	0	<player>打开神秘大红包，惊喜地发现一个<name>。	1
