EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	JumpFly	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Ngùa 1																																																																											
Ngùa 2																																																																											
Ngùa 3																																																																											
Ngùa 4																																																																											
Ngùa 5																																																																											
Ngùa 6																																																																											
Ngùa 7																																																																											
Ngùa 8																																																																											
Ngùa 9																																																																											
Ngùa 10																																																																											
Ngùa 11																																																																											
Ngùa 12																																																																											
Ngùa sè 13																																																																											
Ngùa 14																																																																											
Ngùa 15																																																																											
Ngùa 16																																																																											
Ngùa 17																																																																											
Ngùa 18																																																																											
Ngùa 19																																																																											
Ngùa 20																																																																											
Ngùa 21																																																																											
Ngùa 22																																																																											
Ngùa 23																																																																		horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr
Ngùa 24																																																																											
Ngùa 25																																																																											
Ngùa 26																																																																											
Ngùa 27																																																																											
Ngùa 28																																																																											
Ngùa 29																																																																											
Ngùa 30																																																																											
Ngùa 31																																																																											
Ngùa 32																																																																											
Ngùa 33																																																																											
Ngùa 34																																																																											
Ngùa 35																																																																											
Ngùa 36																																																																											
Ngùa 37																																																																											
Ngùa 38																																																																											
Ngùa 39																																																																											
Ngùa 40																																																																											
Kú L©n Sõng Vµng																																																																											
¤ V©n																																																																		114_ra02.spr	114_rw.spr	114_rr.spr	114_ra01.spr	114_ra02.spr	114_rm.spr	114_rb.spr	114_rd.spr	114_ra02.spr	114_ra02.spr
Kú L©n Sõng §á																																																																		horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr
Kú l©n ®en 																																																																		eff_001_ra02.spr	eff_001_rw.spr		eff_001_ra01.spr	eff_001_ra02.spr	eff_001_rm.spr	eff_001_rb.spr		eff_001_ra02.spr	eff_001_ra02.spr
C¸o tr¾ng																																																																		vip_yaohu_002_ra02.spr	vip_yaohu_002_rw.spr	vip_yaohu_002_rr.spr	vip_yaohu_002_ra01.spr	vip_yaohu_002_ra02.spr	vip_yaohu_002_rm.spr	vip_yaohu_002_rb.spr		vip_yaohu_002_ra02.spr	vip_yaohu_002_ra02.spr
C¸o vµng																																																																		eff_001_ra02.spr	eff_001_rw.spr		eff_001_ra01.spr	eff_001_ra02.spr	eff_001_rm.spr	eff_001_rb.spr		eff_001_ra02.spr	eff_001_ra02.spr
GÊu tróc																																																																		MA_HTF_064_RD01.spr	MA_HTF_064_HW01.spr	MA_HTF_064_HR01.spr	MA_HTF_064_HA01.spr	MA_HTF_064_HA02.spr	MA_HTF_064_HM01.spr	MA_HTF_064_HI01.spr	MA_HTF_064_HD01.spr	MA_HTF_064_RD01.spr	MA_HTF_064_RD01.spr
B¹ch ng­u tuyÕt vùc																																																																											
HuyÕt h·n ng­u																																																																		eff_001_ra02.spr	eff_001_rw.spr		eff_001_ra01.spr	eff_001_ra02.spr	eff_001_rm.spr	eff_001_rb.spr		eff_001_ra02.spr	eff_001_ra02.spr
Lôc m¹ch thuÇn ng­u																																																																											
H­u tuyÕt																																																																											
B¸o hoµng kim vµng																																																																		MA_HTF_091_RD01.spr	MA_HTF_091_HW01.spr	MA_HTF_091_HR01.spr	MA_HTF_091_HA01.spr	MA_HTF_091_HA02.spr	MA_HTF_091_HM01.spr	MA_HTF_091_HI01.spr	MA_HTF_091_HD01.spr	MA_HTF_091_RD01.spr	MA_HTF_091_RD01.spr
B¸o hoµng kim xanh																																																																		2014_vip_003_ra02.spr	2014_vip_003_rw.spr	2014_vip_003_rr.spr	2014_vip_003_ra01.spr	2014_vip_003_ra02.spr	2014_vip_003_rm.spr	2014_vip_003_rb.spr	2014_vip_003_rd.spr	2014_vip_003_ra02.spr	2014_vip_003_ra02.spr
Thá n©u																																																																											
Thá tr¾ng																																																																		MA_HTF_114_RD01.spr	MA_HTF_114_HW01.spr	MA_HTF_114_HR01.spr	MA_HTF_114_HA01.spr	MA_HTF_114_HA02.spr	MA_HTF_114_HM01.spr	MA_HTF_114_HI01.spr	MA_HTF_114_HD01.spr	MA_HTF_114_RD01.spr	MA_HTF_114_RD01.spr
Thá x¸m																																																																											
Dª nói																																																																											
Hoµng ti dª																																																																		eff_001_ra02.spr	eff_001_rw.spr		eff_001_ra01.spr	eff_001_ra02.spr	eff_001_rm.spr	eff_001_rb.spr		eff_001_ra02.spr	eff_001_ra02.spr
GÊu chã																																																																		eff_001_ra02.spr	eff_001_rw.spr		eff_001_ra01.spr	eff_001_ra02.spr	eff_001_rm.spr	eff_001_rb.spr		eff_001_ra02.spr	eff_001_ra02.spr
Gi¸p kú l©n																																																																											
Gi¸p phó m·																																																																		eff_001_ra02.spr	eff_001_rw.spr		eff_001_ra01.spr	eff_001_ra02.spr	eff_001_rm.spr	eff_001_rb.spr		eff_001_ra02.spr	eff_001_ra02.spr
H¾c kú l©n																																																																		2014_vip_003_ra02.spr	2014_vip_003_rw.spr	2014_vip_003_rr.spr	2014_vip_003_ra01.spr	2014_vip_003_ra02.spr	2014_vip_003_rm.spr	2014_vip_003_rb.spr	2014_vip_003_rd.spr	2014_vip_003_ra02.spr	2014_vip_003_ra02.spr
Lîn nhµ																																																																											
Háa kú l©n																																																																		eff_001_ra02.spr	eff_001_rw.spr		eff_001_ra01.spr	eff_001_ra02.spr	eff_001_rm.spr	eff_001_rb.spr		eff_001_ra02.spr	eff_001_ra02.spr
Hoµng v©n m·																																																																		115_ra02.spr	115_rw.spr	115_rr.spr	115_ra01.spr	115_ra02.spr	115_rm.spr	115_rb.spr	115_rd.spr	115_ra02.spr	115_ra02.spr
H­u tuyÕt vùc																																																																											
HuyÕt cÈu																																																																		eff_001_ra02.spr	eff_001_rw.spr		eff_001_ra01.spr	eff_001_ra02.spr	eff_001_rm.spr	eff_001_rb.spr		eff_001_ra02.spr	eff_001_ra02.spr
Kim Tª																																																																		eff_001_ra02.spr	eff_001_rw.spr		eff_001_ra01.spr	eff_001_ra02.spr	eff_001_rm.spr	eff_001_rb.spr		eff_001_ra02.spr	eff_001_ra02.spr
Lôc kú l©n																																																																		2014_vip_003_ra02.spr	2014_vip_003_rw.spr	2014_vip_003_rr.spr	2014_vip_003_ra01.spr	2014_vip_003_ra02.spr	2014_vip_003_rm.spr	2014_vip_003_rb.spr	2014_vip_003_rd.spr	2014_vip_003_ra02.spr	2014_vip_003_ra02.spr
Lôc hoµng l©n																																																																											
Kim hoµng l©n																																																																		eff_001_ra02.spr	eff_001_rw.spr		eff_001_ra01.spr	eff_001_ra02.spr	eff_001_rm.spr	eff_001_rb.spr		eff_001_ra02.spr	eff_001_ra02.spr
§éc hµnh m·																																																																											
Kim ti m·																																																																		eff_001_ra02.spr	eff_001_rw.spr		eff_001_ra01.spr	eff_001_ra02.spr	eff_001_rm.spr	eff_001_rb.spr		eff_001_ra02.spr	eff_001_ra02.spr
Kim tÞch ng­u																																																																		eff_001_ra02.spr	eff_001_rw.spr		eff_001_ra01.spr	eff_001_ra02.spr	eff_001_rm.spr	eff_001_rb.spr		eff_001_ra02.spr	eff_001_ra02.spr
TÞch v©n m·																																																																		114_ra02.spr	114_rw.spr	114_rr.spr	114_ra01.spr	114_ra02.spr	114_rm.spr	114_rb.spr	114_rd.spr	114_ra02.spr	114_ra02.spr
Ti hoµng l©n																																																																		eff_001_ra02.spr	eff_001_rw.spr		eff_001_ra01.spr	eff_001_ra02.spr	eff_001_rm.spr	eff_001_rb.spr		eff_001_ra02.spr	eff_001_ra02.spr
Hoµng kim gi¸p t­îng																																																																											
