EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	JumpFly	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Ngùa 1																																																																											
Ngùa 2																																																																											
Ngùa 3																																																																											
Ngùa 4																																																																											
Ngùa 5																																																																											
Ngùa 6																																																																											
Ngùa 7																																																																											
Ngùa 8																																																																											
Ngùa 9																																																																											
Ngùa 10																																																																											
Ngùa 11																																																																											
Ngùa 12																																																																											
Ngùa sè 13																																																																											
Ngùa 14																																																																											
Ngùa 15																																																																											
Ngùa 16																																																																											
Ngùa 17																																																																											
Ngùa 18																																																																											
Ngùa 19																																																																											
Ngùa 20																																																																											
Ngùa 21																																																																											
Ngùa 22																																																																											
Ngùa 23																																																																		horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr
Ngùa 24																																																																											
Ngùa 25																																																																											
Ngùa 26																																																																											
Ngùa 27																																																																											
Ngùa 28																																																																											
Ngùa 29																																																																											
Ngùa 30																																																																											
Ngùa 31																																																																											
Ngùa 32																																																																											
Ngùa 33																																																																											
Ngùa 34																																																																											
Ngùa 35																																																																											
Ngùa 36																																																																											
Ngùa 37																																																																											
Ngùa 38																																																																											
Ngùa 39																																																																											
Ngùa 40																																																																											
Kú L©n Sõng Vµng																																																																											
¤ V©n																																																																											
Kú L©n Sõng §á																																																																		horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr
Kú l©n ®en 																																																																											
C¸o tr¾ng																																																																											
C¸o vµng																																																																											
GÊu tróc																																																																		MA_HHF_064_RD01.spr	MA_HHF_064_HW01.spr	MA_HHF_064_HR01.spr	MA_HHF_064_HA01.spr	MA_HHF_064_HA02.spr	MA_HHF_064_HM01.spr	MA_HHF_064_HI01.spr	MA_HHF_064_HD01.spr	MA_HHF_064_RD01.spr	MA_HHF_064_RD01.spr
B¹ch ng­u tuyÕt vùc																																																																											
HuyÕt h·n ng­u																																																																											
Lôc m¹ch thuÇn ng­u																																																																											
H­u tuyÕt																																																																											
B¸o hoµng kim vµng																																																																		MA_HHF_091_RD01.spr	MA_HHF_091_HW01.spr	MA_HHF_091_HR01.spr	MA_HHF_091_HA01.spr	MA_HHF_091_HA02.spr	MA_HHF_091_HM01.spr	MA_HHF_091_HI01.spr	MA_HHF_091_HD01.spr	MA_HHF_091_RD01.spr	MA_HHF_091_RD01.spr
B¸o hoµng kim xanh																																																																											
Thá n©u																																																																											
Thá tr¾ng																																																																		MA_HHF_114_RD01.spr	MA_HHF_114_HW01.spr	MA_HHF_114_HR01.spr	MA_HHF_114_HA01.spr	MA_HHF_114_HA02.spr	MA_HHF_114_HM01.spr	MA_HHF_114_HI01.spr	MA_HHF_114_HD01.spr	MA_HHF_114_RD01.spr	MA_HHF_114_RD01.spr
Thá x¸m																																																																											
