装备名称	刀盾站立1	盾刀站立1	空手站立1	空手站立2	空手站立3	短武器站立	长武器站立	双武器站立	刀盾武器站立	盾刀武器站立	琴战斗站立	琴非战斗站立	空手走路	普通走路	短武器走路	长武器走路	双武器走路	刀盾武器走路	盾刀武器走路	琴走路	空手跑步	普通跑步	短武器跑步	长武器跑步	双武器跑步	刀盾武器跑步	盾刀武器跑步	琴武器跑步	空手受伤	短武器受伤	长武器受伤	双武器受伤	刀盾武器受伤	盾刀武器受伤	琴武器受伤	空手死亡	短武器死亡	长武器死亡	双武器死亡	刀盾武器死亡	盾刀武器死亡	琴武器死亡	空手攻击	短武器刺	短武器砍	长武器戳	长武器劈	双武器划	双武器砸	刀盾武器划	刀盾武器砍	盾刀武器划	盾刀武器砍	琴武器攻击1	琴武器攻击2	暗器投掷	空手魔法	短武器魔法	长武器魔法	双武器魔法	刀盾武器魔法	盾刀武器魔法	琴武器魔法	打坐	跳跃	骑马站立	骑马走动	骑马跑步	骑马攻击劈	骑马攻击刺	骑马魔法	骑马受伤	骑马死亡	骑马站立1	骑马站立2
男披风01	20100607001_ST01.spr	20100607001_ST01.spr	20100607001_ST01.spr	20100607001_ST02.spr	20100607001_ST03.spr	20100607001_ST04.spr	20100607001_ST05.spr	20100607001_ST06.spr	20100607001_ST07.spr	20100607001_ST07.spr	20100607001_ST08.spr	20100607001_ST09.spr	20100607001_WK01.spr	20100607001_WK01.spr	20100607001_WK02.spr	20100607001_WK03.spr	20100607001_WK04.spr	20100607001_WK05.spr	20100607001_WK05.spr	20100607001_WK06.spr	20100607001_RN01.spr	20100607001_RN01.spr	20100607001_RN02.spr	20100607001_RN03.spr	20100607001_RN04.spr	20100607001_RN05.spr	20100607001_RN06.spr	20100607001_RN07.spr	20100607001_IJ01.spr	20100607001_IJ02.spr	20100607001_IJ03.spr	20100607001_IJ04.spr	20100607001_IJ05.spr	20100607001_IJ05.spr	20100607001_IJ06.spr	20100607001_DE01.spr	20100607001_DE02.spr	20100607001_DE03.spr	20100607001_DE04.spr	20100607001_DE05.spr	20100607001_DE05.spr	20100607001_DE06.spr	20100607001_AT01.spr	20100607001_AT02.spr	20100607001_AT03.spr	20100607001_AT04.spr	20100607001_AT05.spr	20100607001_AT06.spr	20100607001_AT07.spr	20100607001_AT08.spr	20100607001_AT09.spr	20100607001_AT08.spr	20100607001_AT09.spr	20100607001_AT10.spr	20100607001_AT11.spr	20100607001_MG01.spr	20100607001_MG02.spr	20100607001_MG03.spr	20100607001_MG04.spr	20100607001_MG05.spr	20100607001_MG06.spr	20100607001_MG06.spr	20100607001_MG07.spr	20100607001_ZZ01.spr	20100607001_JP01.spr	20100607001_RD01.spr	20100607001_HW01.spr	20100607001_HR01.spr	20100607001_HA01.spr	20100607001_HA02.spr	20100607001_HM01.spr	20100607001_HI01.spr	20100607001_HD01.spr	20100607001_RD01.spr	20100607001_RD01.spr
男披风02	20100607002_ST01.spr	20100607002_ST01.spr	20100607002_ST01.spr	20100607002_ST02.spr	20100607002_ST03.spr	20100607002_ST04.spr	20100607002_ST05.spr	20100607002_ST06.spr	20100607002_ST07.spr	20100607002_ST07.spr	20100607002_ST08.spr	20100607002_ST09.spr	20100607002_WK01.spr	20100607002_WK01.spr	20100607002_WK02.spr	20100607002_WK03.spr	20100607002_WK04.spr	20100607002_WK05.spr	20100607002_WK05.spr	20100607002_WK06.spr	20100607002_RN01.spr	20100607002_RN01.spr	20100607002_RN02.spr	20100607002_RN03.spr	20100607002_RN04.spr	20100607002_RN05.spr	20100607002_RN06.spr	20100607002_RN07.spr	20100607002_IJ01.spr	20100607002_IJ02.spr	20100607002_IJ03.spr	20100607002_IJ04.spr	20100607002_IJ05.spr	20100607002_IJ05.spr	20100607002_IJ06.spr	20100607002_DE01.spr	20100607002_DE02.spr	20100607002_DE03.spr	20100607002_DE04.spr	20100607002_DE05.spr	20100607002_DE05.spr	20100607002_DE06.spr	20100607002_AT01.spr	20100607002_AT02.spr	20100607002_AT03.spr	20100607002_AT04.spr	20100607002_AT05.spr	20100607002_AT06.spr	20100607002_AT07.spr	20100607002_AT08.spr	20100607002_AT09.spr	20100607002_AT08.spr	20100607002_AT09.spr	20100607002_AT10.spr	20100607002_AT11.spr	20100607002_MG01.spr	20100607002_MG02.spr	20100607002_MG03.spr	20100607002_MG04.spr	20100607002_MG05.spr	20100607002_MG06.spr	20100607002_MG06.spr	20100607002_MG07.spr	20100607002_ZZ01.spr	20100607002_JP01.spr	20100607002_RD01.spr	20100607002_HW01.spr	20100607002_HR01.spr	20100607002_HA01.spr	20100607002_HA02.spr	20100607002_HM01.spr	20100607002_HI01.spr	20100607002_HD01.spr	20100607002_RD01.spr	20100607002_RD01.spr
男披风03	20100607003_ST01.spr	20100607003_ST01.spr	20100607003_ST01.spr	20100607003_ST02.spr	20100607003_ST03.spr	20100607003_ST04.spr	20100607003_ST05.spr	20100607003_ST06.spr	20100607003_ST07.spr	20100607003_ST07.spr	20100607003_ST08.spr	20100607003_ST09.spr	20100607003_WK01.spr	20100607003_WK01.spr	20100607003_WK02.spr	20100607003_WK03.spr	20100607003_WK04.spr	20100607003_WK05.spr	20100607003_WK05.spr	20100607003_WK06.spr	20100607003_RN01.spr	20100607003_RN01.spr	20100607003_RN02.spr	20100607003_RN03.spr	20100607003_RN04.spr	20100607003_RN05.spr	20100607003_RN06.spr	20100607003_RN07.spr	20100607003_IJ01.spr	20100607003_IJ02.spr	20100607003_IJ03.spr	20100607003_IJ04.spr	20100607003_IJ05.spr	20100607003_IJ05.spr	20100607003_IJ06.spr	20100607003_DE01.spr	20100607003_DE02.spr	20100607003_DE03.spr	20100607003_DE04.spr	20100607003_DE05.spr	20100607003_DE05.spr	20100607003_DE06.spr	20100607003_AT01.spr	20100607003_AT02.spr	20100607003_AT03.spr	20100607003_AT04.spr	20100607003_AT05.spr	20100607003_AT06.spr	20100607003_AT07.spr	20100607003_AT08.spr	20100607003_AT09.spr	20100607003_AT08.spr	20100607003_AT09.spr	20100607003_AT10.spr	20100607003_AT11.spr	20100607003_MG01.spr	20100607003_MG02.spr	20100607003_MG03.spr	20100607003_MG04.spr	20100607003_MG05.spr	20100607003_MG06.spr	20100607003_MG06.spr	20100607003_MG07.spr	20100607003_ZZ01.spr	20100607003_JP01.spr	20100607003_RD01.spr	20100607003_HW01.spr	20100607003_HR01.spr	20100607003_HA01.spr	20100607003_HA02.spr	20100607003_HM01.spr	20100607003_HI01.spr	20100607003_HD01.spr	20100607003_RD01.spr	20100607003_RD01.spr
男披风04	20100607004_ST01.spr	20100607004_ST01.spr	20100607004_ST01.spr	20100607004_ST02.spr	20100607004_ST03.spr	20100607004_ST04.spr	20100607004_ST05.spr	20100607004_ST06.spr	20100607004_ST07.spr	20100607004_ST07.spr	20100607004_ST08.spr	20100607004_ST09.spr	20100607004_WK01.spr	20100607004_WK01.spr	20100607004_WK02.spr	20100607004_WK03.spr	20100607004_WK04.spr	20100607004_WK05.spr	20100607004_WK05.spr	20100607004_WK06.spr	20100607004_RN01.spr	20100607004_RN01.spr	20100607004_RN02.spr	20100607004_RN03.spr	20100607004_RN04.spr	20100607004_RN05.spr	20100607004_RN06.spr	20100607004_RN07.spr	20100607004_IJ01.spr	20100607004_IJ02.spr	20100607004_IJ03.spr	20100607004_IJ04.spr	20100607004_IJ05.spr	20100607004_IJ05.spr	20100607004_IJ06.spr	20100607004_DE01.spr	20100607004_DE02.spr	20100607004_DE03.spr	20100607004_DE04.spr	20100607004_DE05.spr	20100607004_DE05.spr	20100607004_DE06.spr	20100607004_AT01.spr	20100607004_AT02.spr	20100607004_AT03.spr	20100607004_AT04.spr	20100607004_AT05.spr	20100607004_AT06.spr	20100607004_AT07.spr	20100607004_AT08.spr	20100607004_AT09.spr	20100607004_AT08.spr	20100607004_AT09.spr	20100607004_AT10.spr	20100607004_AT11.spr	20100607004_MG01.spr	20100607004_MG02.spr	20100607004_MG03.spr	20100607004_MG04.spr	20100607004_MG05.spr	20100607004_MG06.spr	20100607004_MG06.spr	20100607004_MG07.spr	20100607004_ZZ01.spr	20100607004_JP01.spr	20100607004_RD01.spr	20100607004_HW01.spr	20100607004_HR01.spr	20100607004_HA01.spr	20100607004_HA02.spr	20100607004_HM01.spr	20100607004_HI01.spr	20100607004_HD01.spr	20100607004_RD01.spr	20100607004_RD01.spr
男披风05	20100607005_ST01.spr	20100607005_ST01.spr	20100607005_ST01.spr	20100607005_ST02.spr	20100607005_ST03.spr	20100607005_ST04.spr	20100607005_ST05.spr	20100607005_ST06.spr	20100607005_ST07.spr	20100607005_ST07.spr	20100607005_ST08.spr	20100607005_ST09.spr	20100607005_WK01.spr	20100607005_WK01.spr	20100607005_WK02.spr	20100607005_WK03.spr	20100607005_WK04.spr	20100607005_WK05.spr	20100607005_WK05.spr	20100607005_WK06.spr	20100607005_RN01.spr	20100607005_RN01.spr	20100607005_RN02.spr	20100607005_RN03.spr	20100607005_RN04.spr	20100607005_RN05.spr	20100607005_RN06.spr	20100607005_RN07.spr	20100607005_IJ01.spr	20100607005_IJ02.spr	20100607005_IJ03.spr	20100607005_IJ04.spr	20100607005_IJ05.spr	20100607005_IJ05.spr	20100607005_IJ06.spr	20100607005_DE01.spr	20100607005_DE02.spr	20100607005_DE03.spr	20100607005_DE04.spr	20100607005_DE05.spr	20100607005_DE05.spr	20100607005_DE06.spr	20100607005_AT01.spr	20100607005_AT02.spr	20100607005_AT03.spr	20100607005_AT04.spr	20100607005_AT05.spr	20100607005_AT06.spr	20100607005_AT07.spr	20100607005_AT08.spr	20100607005_AT09.spr	20100607005_AT08.spr	20100607005_AT09.spr	20100607005_AT10.spr	20100607005_AT11.spr	20100607005_MG01.spr	20100607005_MG02.spr	20100607005_MG03.spr	20100607005_MG04.spr	20100607005_MG05.spr	20100607005_MG06.spr	20100607005_MG06.spr	20100607005_MG07.spr	20100607005_ZZ01.spr	20100607005_JP01.spr	20100607005_RD01.spr	20100607005_HW01.spr	20100607005_HR01.spr	20100607005_HA01.spr	20100607005_HA02.spr	20100607005_HM01.spr	20100607005_HI01.spr	20100607005_HD01.spr	20100607005_RD01.spr	20100607005_RD01.spr
男披风06	20100607006_ST01.spr	20100607006_ST01.spr	20100607006_ST01.spr	20100607006_ST02.spr	20100607006_ST03.spr	20100607006_ST04.spr	20100607006_ST05.spr	20100607006_ST06.spr	20100607006_ST07.spr	20100607006_ST07.spr	20100607006_ST08.spr	20100607006_ST09.spr	20100607006_WK01.spr	20100607006_WK01.spr	20100607006_WK02.spr	20100607006_WK03.spr	20100607006_WK04.spr	20100607006_WK05.spr	20100607006_WK05.spr	20100607006_WK06.spr	20100607006_RN01.spr	20100607006_RN01.spr	20100607006_RN02.spr	20100607006_RN03.spr	20100607006_RN04.spr	20100607006_RN05.spr	20100607006_RN06.spr	20100607006_RN07.spr	20100607006_IJ01.spr	20100607006_IJ02.spr	20100607006_IJ03.spr	20100607006_IJ04.spr	20100607006_IJ05.spr	20100607006_IJ05.spr	20100607006_IJ06.spr	20100607006_DE01.spr	20100607006_DE02.spr	20100607006_DE03.spr	20100607006_DE04.spr	20100607006_DE05.spr	20100607006_DE05.spr	20100607006_DE06.spr	20100607006_AT01.spr	20100607006_AT02.spr	20100607006_AT03.spr	20100607006_AT04.spr	20100607006_AT05.spr	20100607006_AT06.spr	20100607006_AT07.spr	20100607006_AT08.spr	20100607006_AT09.spr	20100607006_AT08.spr	20100607006_AT09.spr	20100607006_AT10.spr	20100607006_AT11.spr	20100607006_MG01.spr	20100607006_MG02.spr	20100607006_MG03.spr	20100607006_MG04.spr	20100607006_MG05.spr	20100607006_MG06.spr	20100607006_MG06.spr	20100607006_MG07.spr	20100607006_ZZ01.spr	20100607006_JP01.spr	20100607006_RD01.spr	20100607006_HW01.spr	20100607006_HR01.spr	20100607006_HA01.spr	20100607006_HA02.spr	20100607006_HM01.spr	20100607006_HI01.spr	20100607006_HD01.spr	20100607006_RD01.spr	20100607006_RD01.spr
男披风07	20100607007_ST01.spr	20100607007_ST01.spr	20100607007_ST01.spr	20100607007_ST02.spr	20100607007_ST03.spr	20100607007_ST04.spr	20100607007_ST05.spr	20100607007_ST06.spr	20100607007_ST07.spr	20100607007_ST07.spr	20100607007_ST08.spr	20100607007_ST09.spr	20100607007_WK01.spr	20100607007_WK01.spr	20100607007_WK02.spr	20100607007_WK03.spr	20100607007_WK04.spr	20100607007_WK05.spr	20100607007_WK05.spr	20100607007_WK06.spr	20100607007_RN01.spr	20100607007_RN01.spr	20100607007_RN02.spr	20100607007_RN03.spr	20100607007_RN04.spr	20100607007_RN05.spr	20100607007_RN06.spr	20100607007_RN07.spr	20100607007_IJ01.spr	20100607007_IJ02.spr	20100607007_IJ03.spr	20100607007_IJ04.spr	20100607007_IJ05.spr	20100607007_IJ05.spr	20100607007_IJ06.spr	20100607007_DE01.spr	20100607007_DE02.spr	20100607007_DE03.spr	20100607007_DE04.spr	20100607007_DE05.spr	20100607007_DE05.spr	20100607007_DE06.spr	20100607007_AT01.spr	20100607007_AT02.spr	20100607007_AT03.spr	20100607007_AT04.spr	20100607007_AT05.spr	20100607007_AT06.spr	20100607007_AT07.spr	20100607007_AT08.spr	20100607007_AT09.spr	20100607007_AT08.spr	20100607007_AT09.spr	20100607007_AT10.spr	20100607007_AT11.spr	20100607007_MG01.spr	20100607007_MG02.spr	20100607007_MG03.spr	20100607007_MG04.spr	20100607007_MG05.spr	20100607007_MG06.spr	20100607007_MG06.spr	20100607007_MG07.spr	20100607007_ZZ01.spr	20100607007_JP01.spr	20100607007_RD01.spr	20100607007_HW01.spr	20100607007_HR01.spr	20100607007_HA01.spr	20100607007_HA02.spr	20100607007_HM01.spr	20100607007_HI01.spr	20100607007_HD01.spr	20100607007_RD01.spr	20100607007_RD01.spr
男披风08	20100607008_ST01.spr	20100607008_ST01.spr	20100607008_ST01.spr	20100607008_ST02.spr	20100607008_ST03.spr	20100607008_ST04.spr	20100607008_ST05.spr	20100607008_ST06.spr	20100607008_ST07.spr	20100607008_ST07.spr	20100607008_ST08.spr	20100607008_ST09.spr	20100607008_WK01.spr	20100607008_WK01.spr	20100607008_WK02.spr	20100607008_WK03.spr	20100607008_WK04.spr	20100607008_WK05.spr	20100607008_WK05.spr	20100607008_WK06.spr	20100607008_RN01.spr	20100607008_RN01.spr	20100607008_RN02.spr	20100607008_RN03.spr	20100607008_RN04.spr	20100607008_RN05.spr	20100607008_RN06.spr	20100607008_RN07.spr	20100607008_IJ01.spr	20100607008_IJ02.spr	20100607008_IJ03.spr	20100607008_IJ04.spr	20100607008_IJ05.spr	20100607008_IJ05.spr	20100607008_IJ06.spr	20100607008_DE01.spr	20100607008_DE02.spr	20100607008_DE03.spr	20100607008_DE04.spr	20100607008_DE05.spr	20100607008_DE05.spr	20100607008_DE06.spr	20100607008_AT01.spr	20100607008_AT02.spr	20100607008_AT03.spr	20100607008_AT04.spr	20100607008_AT05.spr	20100607008_AT06.spr	20100607008_AT07.spr	20100607008_AT08.spr	20100607008_AT09.spr	20100607008_AT08.spr	20100607008_AT09.spr	20100607008_AT10.spr	20100607008_AT11.spr	20100607008_MG01.spr	20100607008_MG02.spr	20100607008_MG03.spr	20100607008_MG04.spr	20100607008_MG05.spr	20100607008_MG06.spr	20100607008_MG06.spr	20100607008_MG07.spr	20100607008_ZZ01.spr	20100607008_JP01.spr	20100607008_RD01.spr	20100607008_HW01.spr	20100607008_HR01.spr	20100607008_HA01.spr	20100607008_HA02.spr	20100607008_HM01.spr	20100607008_HI01.spr	20100607008_HD01.spr	20100607008_RD01.spr	20100607008_RD01.spr
男披风09	20100607009_ST01.spr	20100607009_ST01.spr	20100607009_ST01.spr	20100607009_ST02.spr	20100607009_ST03.spr	20100607009_ST04.spr	20100607009_ST05.spr	20100607009_ST06.spr	20100607009_ST07.spr	20100607009_ST07.spr	20100607009_ST08.spr	20100607009_ST09.spr	20100607009_WK01.spr	20100607009_WK01.spr	20100607009_WK02.spr	20100607009_WK03.spr	20100607009_WK04.spr	20100607009_WK05.spr	20100607009_WK05.spr	20100607009_WK06.spr	20100607009_RN01.spr	20100607009_RN01.spr	20100607009_RN02.spr	20100607009_RN03.spr	20100607009_RN04.spr	20100607009_RN05.spr	20100607009_RN06.spr	20100607009_RN07.spr	20100607009_IJ01.spr	20100607009_IJ02.spr	20100607009_IJ03.spr	20100607009_IJ04.spr	20100607009_IJ05.spr	20100607009_IJ05.spr	20100607009_IJ06.spr	20100607009_DE01.spr	20100607009_DE02.spr	20100607009_DE03.spr	20100607009_DE04.spr	20100607009_DE05.spr	20100607009_DE05.spr	20100607009_DE06.spr	20100607009_AT01.spr	20100607009_AT02.spr	20100607009_AT03.spr	20100607009_AT04.spr	20100607009_AT05.spr	20100607009_AT06.spr	20100607009_AT07.spr	20100607009_AT08.spr	20100607009_AT09.spr	20100607009_AT08.spr	20100607009_AT09.spr	20100607009_AT10.spr	20100607009_AT11.spr	20100607009_MG01.spr	20100607009_MG02.spr	20100607009_MG03.spr	20100607009_MG04.spr	20100607009_MG05.spr	20100607009_MG06.spr	20100607009_MG06.spr	20100607009_MG07.spr	20100607009_ZZ01.spr	20100607009_JP01.spr	20100607009_RD01.spr	20100607009_HW01.spr	20100607009_HR01.spr	20100607009_HA01.spr	20100607009_HA02.spr	20100607009_HM01.spr	20100607009_HI01.spr	20100607009_HD01.spr	20100607009_RD01.spr	20100607009_RD01.spr
男披风10	20100607010_ST01.spr	20100607010_ST01.spr	20100607010_ST01.spr	20100607010_ST02.spr	20100607010_ST03.spr	20100607010_ST04.spr	20100607010_ST05.spr	20100607010_ST06.spr	20100607010_ST07.spr	20100607010_ST07.spr	20100607010_ST08.spr	20100607010_ST09.spr	20100607010_WK01.spr	20100607010_WK01.spr	20100607010_WK02.spr	20100607010_WK03.spr	20100607010_WK04.spr	20100607010_WK05.spr	20100607010_WK05.spr	20100607010_WK06.spr	20100607010_RN01.spr	20100607010_RN01.spr	20100607010_RN02.spr	20100607010_RN03.spr	20100607010_RN04.spr	20100607010_RN05.spr	20100607010_RN06.spr	20100607010_RN07.spr	20100607010_IJ01.spr	20100607010_IJ02.spr	20100607010_IJ03.spr	20100607010_IJ04.spr	20100607010_IJ05.spr	20100607010_IJ05.spr	20100607010_IJ06.spr	20100607010_DE01.spr	20100607010_DE02.spr	20100607010_DE03.spr	20100607010_DE04.spr	20100607010_DE05.spr	20100607010_DE05.spr	20100607010_DE06.spr	20100607010_AT01.spr	20100607010_AT02.spr	20100607010_AT03.spr	20100607010_AT04.spr	20100607010_AT05.spr	20100607010_AT06.spr	20100607010_AT07.spr	20100607010_AT08.spr	20100607010_AT09.spr	20100607010_AT08.spr	20100607010_AT09.spr	20100607010_AT10.spr	20100607010_AT11.spr	20100607010_MG01.spr	20100607010_MG02.spr	20100607010_MG03.spr	20100607010_MG04.spr	20100607010_MG05.spr	20100607010_MG06.spr	20100607010_MG06.spr	20100607010_MG07.spr	20100607010_ZZ01.spr	20100607010_JP01.spr	20100607010_RD01.spr	20100607010_HW01.spr	20100607010_HR01.spr	20100607010_HA01.spr	20100607010_HA02.spr	20100607010_HM01.spr	20100607010_HI01.spr	20100607010_HD01.spr	20100607010_RD01.spr	20100607010_RD01.spr
