EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
空手			120,8,1	120,8,1	88,8,1				120,8,1	120,8,1			120,8,1	120,8,1				248,8,1	248,8,1		88,8,1	88,8,1				96,8,1	96,8,1		72,8,1				104,8,1	104,8,1		96,8,1				104,8,1	104,8,1		144,8,1							232,8,1	192,8,1	232,8,1	192,8,1			128,8,1	96,8,1				176,8,1	176,8,1		72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手剑1			120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1												96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手剑2			120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1												96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手剑3			120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1												96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手刀1			120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1												96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手刀2			120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1												96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手刀3			120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1												96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长枪类1			120,8,1	120,8,1	88,8,1		88,8,1						120,8,1	120,8,1		120,8,1					88,8,1	88,8,1		88,8,1					72,8,1		56,8,1					96,8,1		120,8,1					144,8,1			96,8,1	96,8,1										96,8,1		104,8,1					72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长枪类2			120,8,1	120,8,1	88,8,1		88,8,1						120,8,1	120,8,1		120,8,1					88,8,1	88,8,1		88,8,1					72,8,1		56,8,1					96,8,1		120,8,1					144,8,1			96,8,1	96,8,1										96,8,1		104,8,1					72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长枪类3			120,8,1	120,8,1	88,8,1		88,8,1						120,8,1	120,8,1		120,8,1					88,8,1	88,8,1		88,8,1					72,8,1		56,8,1					96,8,1		120,8,1					144,8,1			96,8,1	96,8,1										96,8,1		104,8,1					72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
