EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
空手	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST02.spr	MA_LW_000_ST03.spr	MA_LW_000_ST04.spr	MA_LW_000_ST05.spr	MA_LW_000_ST06.spr	MA_LW_000_ST07.spr	MA_LW_000_ST07.spr	MA_LW_000_ST08.spr	MA_LW_000_ST09.spr	MA_LW_000_WK01.spr	MA_LW_000_WK01.spr	MA_LW_000_WK02.spr	MA_LW_000_WK03.spr	MA_LW_000_WK04.spr	MA_LW_000_WK05.spr	MA_LW_000_WK05.spr	MA_LW_000_WK06.spr	MA_LW_000_RN01.spr	MA_LW_000_RN01.spr	MA_LW_000_RN02.spr	MA_LW_000_RN03.spr	MA_LW_000_RN04.spr	MA_LW_000_RN05.spr	MA_LW_000_RN06.spr	MA_LW_000_RN07.spr	MA_LW_000_IJ01.spr	MA_LW_000_IJ02.spr	MA_LW_000_IJ03.spr	MA_LW_000_IJ04.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ06.spr	MA_LW_000_DE01.spr	MA_LW_000_DE02.spr	MA_LW_000_DE03.spr	MA_LW_000_DE04.spr	MA_LW_000_DE05.spr	MA_LW_000_DE05.spr	MA_LW_000_DE06.spr	MA_LW_000_AT01.spr	MA_LW_000_AT02.spr	MA_LW_000_AT03.spr	MA_LW_000_AT04.spr	MA_LW_000_AT05.spr	MA_LW_000_AT06.spr	MA_LW_000_AT07.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT10.spr	MA_LW_000_AT11.spr	MA_LW_000_MG01.spr	MA_LW_000_MG02.spr	MA_LW_000_MG03.spr	MA_LW_000_MG04.spr	MA_LW_000_MG05.spr	MA_LW_000_MG06.spr	MA_LW_000_MG06.spr	MA_LW_000_MG07.spr	MA_LW_000_ZZ01.spr	MA_LW_000_JP01.spr	MA_LW_000_RD01.spr	MA_LW_000_HW01.spr	MA_LW_000_LW01.spr	MA_LW_000_HA01.spr	MA_LW_000_HA02.spr	MA_LW_000_HM01.spr	MA_LW_000_HI01.spr	MA_LW_000_HD.spr	MA_LW_000_RD01.spr	MA_LW_000_RD01.spr
单手剑1	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST02.spr	MA_LW_000_ST03.spr	MA_LW_000_ST04.spr	MA_LW_000_ST05.spr	MA_LW_001_ST06.spr	MA_LW_000_ST07.spr	MA_LW_000_ST07.spr	MA_LW_000_ST08.spr	MA_LW_000_ST09.spr	MA_LW_000_WK01.spr	MA_LW_000_WK01.spr	MA_LW_000_WK02.spr	MA_LW_000_WK03.spr	MA_LW_001_WK04.spr	MA_LW_000_WK05.spr	MA_LW_000_WK05.spr	MA_LW_000_WK06.spr	MA_LW_000_RN01.spr	MA_LW_000_RN01.spr	MA_LW_000_RN02.spr	MA_LW_000_RN03.spr	MA_LW_001_RN04.spr	MA_LW_000_RN05.spr	MA_LW_000_RN06.spr	MA_LW_000_RN07.spr	MA_LW_000_IJ01.spr	MA_LW_000_IJ02.spr	MA_LW_000_IJ03.spr	MA_LW_001_IJ04.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ06.spr	MA_LW_000_DE01.spr	MA_LW_000_DE02.spr	MA_LW_000_DE03.spr	MA_LW_001_DE04.spr	MA_LW_000_DE05.spr	MA_LW_000_DE05.spr	MA_LW_000_DE06.spr	MA_LW_000_AT01.spr	MA_LW_000_AT02.spr	MA_LW_000_AT03.spr	MA_LW_000_AT04.spr	MA_LW_000_AT05.spr	MA_LW_001_AT06.spr	MA_LW_001_AT07.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT10.spr	MA_LW_000_AT11.spr	MA_LW_000_MG01.spr	MA_LW_000_MG02.spr	MA_LW_000_MG03.spr	MA_LW_000_MG04.spr	MA_LW_001_MG05.spr	MA_LW_000_MG06.spr	MA_LW_000_MG06.spr	MA_LW_000_MG07.spr	MA_LW_000_ZZ01.spr	MA_LW_000_JP01.spr	MA_LW_000_RD01.spr	MA_LW_000_HW01.spr	MA_LW_000_HR01.spr	MA_LW_000_HA01.spr	MA_LW_000_HA02.spr	MA_LW_000_HM01.spr	MA_LW_000_HI01.spr	MA_LW_000_HD01.spr	MA_LW_000_RD01.spr	MA_LW_000_RD01.spr
单手剑2	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST02.spr	MA_LW_000_ST03.spr	MA_LW_000_ST04.spr	MA_LW_000_ST05.spr	MA_LW_002_ST06.spr	MA_LW_000_ST07.spr	MA_LW_000_ST07.spr	MA_LW_000_ST08.spr	MA_LW_000_ST09.spr	MA_LW_000_WK01.spr	MA_LW_000_WK01.spr	MA_LW_000_WK02.spr	MA_LW_000_WK03.spr	MA_LW_002_WK04.spr	MA_LW_000_WK05.spr	MA_LW_000_WK05.spr	MA_LW_000_WK06.spr	MA_LW_000_RN01.spr	MA_LW_000_RN01.spr	MA_LW_000_RN02.spr	MA_LW_000_RN03.spr	MA_LW_002_RN04.spr	MA_LW_000_RN05.spr	MA_LW_000_RN06.spr	MA_LW_000_RN07.spr	MA_LW_000_IJ01.spr	MA_LW_000_IJ02.spr	MA_LW_000_IJ03.spr	MA_LW_002_IJ04.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ06.spr	MA_LW_000_DE01.spr	MA_LW_000_DE02.spr	MA_LW_000_DE03.spr	MA_LW_002_DE04.spr	MA_LW_000_DE05.spr	MA_LW_000_DE05.spr	MA_LW_000_DE06.spr	MA_LW_000_AT01.spr	MA_LW_000_AT02.spr	MA_LW_000_AT03.spr	MA_LW_000_AT04.spr	MA_LW_000_AT05.spr	MA_LW_002_AT06.spr	MA_LW_002_AT07.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT10.spr	MA_LW_000_AT11.spr	MA_LW_000_MG01.spr	MA_LW_000_MG02.spr	MA_LW_000_MG03.spr	MA_LW_000_MG04.spr	MA_LW_002_MG05.spr	MA_LW_000_MG06.spr	MA_LW_000_MG06.spr	MA_LW_000_MG07.spr	MA_LW_000_ZZ01.spr	MA_LW_000_JP01.spr	MA_LW_000_RD01.spr	MA_LW_000_HW01.spr	MA_LW_000_HR01.spr	MA_LW_000_HA01.spr	MA_LW_000_HA02.spr	MA_LW_000_HM01.spr	MA_LW_000_HI01.spr	MA_LW_000_HD01.spr	MA_LW_000_RD01.spr	MA_LW_000_RD01.spr
单手剑3	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST02.spr	MA_LW_000_ST03.spr	MA_LW_000_ST04.spr	MA_LW_000_ST05.spr	MA_LW_003_ST06.spr	MA_LW_000_ST07.spr	MA_LW_000_ST07.spr	MA_LW_000_ST08.spr	MA_LW_000_ST09.spr	MA_LW_000_WK01.spr	MA_LW_000_WK01.spr	MA_LW_000_WK02.spr	MA_LW_000_WK03.spr	MA_LW_003_WK04.spr	MA_LW_000_WK05.spr	MA_LW_000_WK05.spr	MA_LW_000_WK06.spr	MA_LW_000_RN01.spr	MA_LW_000_RN01.spr	MA_LW_000_RN02.spr	MA_LW_000_RN03.spr	MA_LW_003_RN04.spr	MA_LW_000_RN05.spr	MA_LW_000_RN06.spr	MA_LW_000_RN07.spr	MA_LW_000_IJ01.spr	MA_LW_000_IJ02.spr	MA_LW_000_IJ03.spr	MA_LW_003_IJ04.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ06.spr	MA_LW_000_DE01.spr	MA_LW_000_DE02.spr	MA_LW_000_DE03.spr	MA_LW_003_DE04.spr	MA_LW_000_DE05.spr	MA_LW_000_DE05.spr	MA_LW_000_DE06.spr	MA_LW_000_AT01.spr	MA_LW_000_AT02.spr	MA_LW_000_AT03.spr	MA_LW_000_AT04.spr	MA_LW_000_AT05.spr	MA_LW_003_AT06.spr	MA_LW_003_AT07.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT10.spr	MA_LW_000_AT11.spr	MA_LW_000_MG01.spr	MA_LW_000_MG02.spr	MA_LW_000_MG03.spr	MA_LW_000_MG04.spr	MA_LW_003_MG05.spr	MA_LW_000_MG06.spr	MA_LW_000_MG06.spr	MA_LW_000_MG07.spr	MA_LW_000_ZZ01.spr	MA_LW_000_JP01.spr	MA_LW_000_RD01.spr	MA_LW_000_HW01.spr	MA_LW_000_HR01.spr	MA_LW_000_HA01.spr	MA_LW_000_HA02.spr	MA_LW_000_HM01.spr	MA_LW_000_HI01.spr	MA_LW_000_HD01.spr	MA_LW_000_RD01.spr	MA_LW_000_RD01.spr
单手刀1	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST02.spr	MA_LW_000_ST03.spr	MA_LW_000_ST04.spr	MA_LW_000_ST05.spr	MA_LW_004_ST06.spr	MA_LW_000_ST07.spr	MA_LW_000_ST07.spr	MA_LW_000_ST08.spr	MA_LW_000_ST09.spr	MA_LW_000_WK01.spr	MA_LW_000_WK01.spr	MA_LW_000_WK02.spr	MA_LW_000_WK03.spr	MA_LW_004_WK04.spr	MA_LW_000_WK05.spr	MA_LW_000_WK05.spr	MA_LW_000_WK06.spr	MA_LW_000_RN01.spr	MA_LW_000_RN01.spr	MA_LW_000_RN02.spr	MA_LW_000_RN03.spr	MA_LW_004_RN04.spr	MA_LW_000_RN05.spr	MA_LW_000_RN06.spr	MA_LW_000_RN07.spr	MA_LW_000_IJ01.spr	MA_LW_000_IJ02.spr	MA_LW_000_IJ03.spr	MA_LW_004_IJ04.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ06.spr	MA_LW_000_DE01.spr	MA_LW_000_DE02.spr	MA_LW_000_DE03.spr	MA_LW_004_DE04.spr	MA_LW_000_DE05.spr	MA_LW_000_DE05.spr	MA_LW_000_DE06.spr	MA_LW_000_AT01.spr	MA_LW_000_AT02.spr	MA_LW_000_AT03.spr	MA_LW_000_AT04.spr	MA_LW_000_AT05.spr	MA_LW_004_AT06.spr	MA_LW_004_AT07.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT10.spr	MA_LW_000_AT11.spr	MA_LW_000_MG01.spr	MA_LW_000_MG02.spr	MA_LW_000_MG03.spr	MA_LW_000_MG04.spr	MA_LW_004_MG05.spr	MA_LW_000_MG06.spr	MA_LW_000_MG06.spr	MA_LW_000_MG07.spr	MA_LW_000_ZZ01.spr	MA_LW_000_JP01.spr	MA_LW_000_RD01.spr	MA_LW_000_HW01.spr	MA_LW_000_HR01.spr	MA_LW_000_HA01.spr	MA_LW_000_HA02.spr	MA_LW_000_HM01.spr	MA_LW_000_HI01.spr	MA_LW_000_HD01.spr	MA_LW_000_RD01.spr	MA_LW_000_RD01.spr
单手刀2	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST02.spr	MA_LW_000_ST03.spr	MA_LW_000_ST04.spr	MA_LW_000_ST05.spr	MA_LW_005_ST06.spr	MA_LW_000_ST07.spr	MA_LW_000_ST07.spr	MA_LW_000_ST08.spr	MA_LW_000_ST09.spr	MA_LW_000_WK01.spr	MA_LW_000_WK01.spr	MA_LW_000_WK02.spr	MA_LW_000_WK03.spr	MA_LW_005_WK04.spr	MA_LW_000_WK05.spr	MA_LW_000_WK05.spr	MA_LW_000_WK06.spr	MA_LW_000_RN01.spr	MA_LW_000_RN01.spr	MA_LW_000_RN02.spr	MA_LW_000_RN03.spr	MA_LW_005_RN04.spr	MA_LW_000_RN05.spr	MA_LW_000_RN06.spr	MA_LW_000_RN07.spr	MA_LW_000_IJ01.spr	MA_LW_000_IJ02.spr	MA_LW_000_IJ03.spr	MA_LW_005_IJ04.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ06.spr	MA_LW_000_DE01.spr	MA_LW_000_DE02.spr	MA_LW_000_DE03.spr	MA_LW_005_DE04.spr	MA_LW_000_DE05.spr	MA_LW_000_DE05.spr	MA_LW_000_DE06.spr	MA_LW_000_AT01.spr	MA_LW_000_AT02.spr	MA_LW_000_AT03.spr	MA_LW_000_AT04.spr	MA_LW_000_AT05.spr	MA_LW_005_AT06.spr	MA_LW_005_AT07.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT10.spr	MA_LW_000_AT11.spr	MA_LW_000_MG01.spr	MA_LW_000_MG02.spr	MA_LW_000_MG03.spr	MA_LW_000_MG04.spr	MA_LW_005_MG05.spr	MA_LW_000_MG06.spr	MA_LW_000_MG06.spr	MA_LW_000_MG07.spr	MA_LW_000_ZZ01.spr	MA_LW_000_JP01.spr	MA_LW_000_RD01.spr	MA_LW_000_HW01.spr	MA_LW_000_HR01.spr	MA_LW_000_HA01.spr	MA_LW_000_HA02.spr	MA_LW_000_HM01.spr	MA_LW_000_HI01.spr	MA_LW_000_HD01.spr	MA_LW_000_RD01.spr	MA_LW_000_RD01.spr
单手刀3	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST02.spr	MA_LW_000_ST03.spr	MA_LW_000_ST04.spr	MA_LW_000_ST05.spr	MA_LW_006_ST06.spr	MA_LW_000_ST07.spr	MA_LW_000_ST07.spr	MA_LW_000_ST08.spr	MA_LW_000_ST09.spr	MA_LW_000_WK01.spr	MA_LW_000_WK01.spr	MA_LW_000_WK02.spr	MA_LW_000_WK03.spr	MA_LW_006_WK04.spr	MA_LW_000_WK05.spr	MA_LW_000_WK05.spr	MA_LW_000_WK06.spr	MA_LW_000_RN01.spr	MA_LW_000_RN01.spr	MA_LW_000_RN02.spr	MA_LW_000_RN03.spr	MA_LW_006_RN04.spr	MA_LW_000_RN05.spr	MA_LW_000_RN06.spr	MA_LW_000_RN07.spr	MA_LW_000_IJ01.spr	MA_LW_000_IJ02.spr	MA_LW_000_IJ03.spr	MA_LW_006_IJ04.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ06.spr	MA_LW_000_DE01.spr	MA_LW_000_DE02.spr	MA_LW_000_DE03.spr	MA_LW_006_DE04.spr	MA_LW_000_DE05.spr	MA_LW_000_DE05.spr	MA_LW_000_DE06.spr	MA_LW_000_AT01.spr	MA_LW_000_AT02.spr	MA_LW_000_AT03.spr	MA_LW_000_AT04.spr	MA_LW_000_AT05.spr	MA_LW_006_AT06.spr	MA_LW_006_AT07.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT10.spr	MA_LW_000_AT11.spr	MA_LW_000_MG01.spr	MA_LW_000_MG02.spr	MA_LW_000_MG03.spr	MA_LW_000_MG04.spr	MA_LW_006_MG05.spr	MA_LW_000_MG06.spr	MA_LW_000_MG06.spr	MA_LW_000_MG07.spr	MA_LW_000_ZZ01.spr	MA_LW_000_JP01.spr	MA_LW_000_RD01.spr	MA_LW_000_HW01.spr	MA_LW_000_HR01.spr	MA_LW_000_HA01.spr	MA_LW_000_HA02.spr	MA_LW_000_HM01.spr	MA_LW_000_HI01.spr	MA_LW_000_HD01.spr	MA_LW_000_RD01.spr	MA_LW_000_RD01.spr
长枪类1	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST02.spr	MA_LW_000_ST03.spr	MA_LW_000_ST04.spr	MA_LW_000_ST05.spr	MA_LW_007_ST06.spr	MA_LW_000_ST07.spr	MA_LW_000_ST07.spr	MA_LW_000_ST08.spr	MA_LW_000_ST09.spr	MA_LW_000_WK01.spr	MA_LW_000_WK01.spr	MA_LW_000_WK02.spr	MA_LW_000_WK03.spr	MA_LW_007_WK04.spr	MA_LW_000_WK05.spr	MA_LW_000_WK05.spr	MA_LW_000_WK06.spr	MA_LW_000_RN01.spr	MA_LW_000_RN01.spr	MA_LW_000_RN02.spr	MA_LW_000_RN03.spr	MA_LW_007_RN04.spr	MA_LW_000_RN05.spr	MA_LW_000_RN06.spr	MA_LW_000_RN07.spr	MA_LW_000_IJ01.spr	MA_LW_000_IJ02.spr	MA_LW_000_IJ03.spr	MA_LW_007_IJ04.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ06.spr	MA_LW_000_DE01.spr	MA_LW_000_DE02.spr	MA_LW_000_DE03.spr	MA_LW_007_DE04.spr	MA_LW_000_DE05.spr	MA_LW_000_DE05.spr	MA_LW_000_DE06.spr	MA_LW_000_AT01.spr	MA_LW_000_AT02.spr	MA_LW_000_AT03.spr	MA_LW_000_AT04.spr	MA_LW_000_AT05.spr	MA_LW_007_AT06.spr	MA_LW_007_AT07.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT10.spr	MA_LW_000_AT11.spr	MA_LW_000_MG01.spr	MA_LW_000_MG02.spr	MA_LW_000_MG03.spr	MA_LW_000_MG04.spr	MA_LW_007_MG05.spr	MA_LW_000_MG06.spr	MA_LW_000_MG06.spr	MA_LW_000_MG07.spr	MA_LW_000_ZZ01.spr	MA_LW_000_JP01.spr	MA_LW_000_RD01.spr	MA_LW_000_HW01.spr	MA_LW_000_HR01.spr	MA_LW_000_HA01.spr	MA_LW_000_HA02.spr	MA_LW_000_HM01.spr	MA_LW_000_HI01.spr	MA_LW_000_HD01.spr	MA_LW_000_RD01.spr	MA_LW_000_RD01.spr
长枪类2	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST02.spr	MA_LW_000_ST03.spr	MA_LW_000_ST04.spr	MA_LW_000_ST05.spr	MA_LW_008_ST06.spr	MA_LW_000_ST07.spr	MA_LW_000_ST07.spr	MA_LW_000_ST08.spr	MA_LW_000_ST09.spr	MA_LW_000_WK01.spr	MA_LW_000_WK01.spr	MA_LW_000_WK02.spr	MA_LW_000_WK03.spr	MA_LW_008_WK04.spr	MA_LW_000_WK05.spr	MA_LW_000_WK05.spr	MA_LW_000_WK06.spr	MA_LW_000_RN01.spr	MA_LW_000_RN01.spr	MA_LW_000_RN02.spr	MA_LW_000_RN03.spr	MA_LW_008_RN04.spr	MA_LW_000_RN05.spr	MA_LW_000_RN06.spr	MA_LW_000_RN07.spr	MA_LW_000_IJ01.spr	MA_LW_000_IJ02.spr	MA_LW_000_IJ03.spr	MA_LW_008_IJ04.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ06.spr	MA_LW_000_DE01.spr	MA_LW_000_DE02.spr	MA_LW_000_DE03.spr	MA_LW_008_DE04.spr	MA_LW_000_DE05.spr	MA_LW_000_DE05.spr	MA_LW_000_DE06.spr	MA_LW_000_AT01.spr	MA_LW_000_AT02.spr	MA_LW_000_AT03.spr	MA_LW_000_AT04.spr	MA_LW_000_AT05.spr	MA_LW_008_AT06.spr	MA_LW_008_AT07.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT10.spr	MA_LW_000_AT11.spr	MA_LW_000_MG01.spr	MA_LW_000_MG02.spr	MA_LW_000_MG03.spr	MA_LW_000_MG04.spr	MA_LW_008_MG05.spr	MA_LW_000_MG06.spr	MA_LW_000_MG06.spr	MA_LW_000_MG07.spr	MA_LW_000_ZZ01.spr	MA_LW_000_JP01.spr	MA_LW_000_RD01.spr	MA_LW_000_HW01.spr	MA_LW_000_HR01.spr	MA_LW_000_HA01.spr	MA_LW_000_HA02.spr	MA_LW_000_HM01.spr	MA_LW_000_HI01.spr	MA_LW_000_HD01.spr	MA_LW_000_RD01.spr	MA_LW_000_RD01.spr
长枪类3	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST01.spr	MA_LW_000_ST02.spr	MA_LW_000_ST03.spr	MA_LW_000_ST04.spr	MA_LW_000_ST05.spr	MA_LW_009_ST06.spr	MA_LW_000_ST07.spr	MA_LW_000_ST07.spr	MA_LW_000_ST08.spr	MA_LW_000_ST09.spr	MA_LW_000_WK01.spr	MA_LW_000_WK01.spr	MA_LW_000_WK02.spr	MA_LW_000_WK03.spr	MA_LW_009_WK04.spr	MA_LW_000_WK05.spr	MA_LW_000_WK05.spr	MA_LW_000_WK06.spr	MA_LW_000_RN01.spr	MA_LW_000_RN01.spr	MA_LW_000_RN02.spr	MA_LW_000_RN03.spr	MA_LW_009_RN04.spr	MA_LW_000_RN05.spr	MA_LW_000_RN06.spr	MA_LW_000_RN07.spr	MA_LW_000_IJ01.spr	MA_LW_000_IJ02.spr	MA_LW_000_IJ03.spr	MA_LW_009_IJ04.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ05.spr	MA_LW_000_IJ06.spr	MA_LW_000_DE01.spr	MA_LW_000_DE02.spr	MA_LW_000_DE03.spr	MA_LW_009_DE04.spr	MA_LW_000_DE05.spr	MA_LW_000_DE05.spr	MA_LW_000_DE06.spr	MA_LW_000_AT01.spr	MA_LW_000_AT02.spr	MA_LW_000_AT03.spr	MA_LW_000_AT04.spr	MA_LW_000_AT05.spr	MA_LW_009_AT06.spr	MA_LW_009_AT07.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT08.spr	MA_LW_000_AT09.spr	MA_LW_000_AT10.spr	MA_LW_000_AT11.spr	MA_LW_000_MG01.spr	MA_LW_000_MG02.spr	MA_LW_000_MG03.spr	MA_LW_000_MG04.spr	MA_LW_009_MG05.spr	MA_LW_000_MG06.spr	MA_LW_000_MG06.spr	MA_LW_000_MG07.spr	MA_LW_000_ZZ01.spr	MA_LW_000_JP01.spr	MA_LW_000_RD01.spr	MA_LW_000_HW01.spr	MA_LW_000_HR01.spr	MA_LW_000_HA01.spr	MA_LW_000_HA02.spr	MA_LW_000_HM01.spr	MA_LW_000_HI01.spr	MA_LW_000_HD01.spr	MA_LW_000_RD01.spr	MA_LW_000_RD01.spr
