装备名称	刀盾站立1	盾刀站立1	空手站立1	空手站立2	空手站立3	短武器站立	长武器站立	双武器站立	刀盾武器站立	盾刀武器站立	琴战斗站立	琴非战斗站立	空手走路	普通走路	短武器走路	长武器走路	双武器走路	刀盾武器走路	盾刀武器走路	琴走路	空手跑步	普通跑步	短武器跑步	长武器跑步	双武器跑步	刀盾武器跑步	盾刀武器跑步	琴武器跑步	空手受伤	短武器受伤	长武器受伤	双武器受伤	刀盾武器受伤	盾刀武器受伤	琴武器受伤	空手死亡	短武器死亡	长武器死亡	双武器死亡	刀盾武器死亡	盾刀武器死亡	琴武器死亡	空手攻击	短武器刺	短武器砍	长武器戳	长武器劈	双武器划	双武器砸	刀盾武器划	刀盾武器砍	盾刀武器划	盾刀武器砍	琴武器攻击1	琴武器攻击2	暗器投掷	空手魔法	短武器魔法	长武器魔法	双武器魔法	刀盾武器魔法	盾刀武器魔法	琴武器魔法	打坐	跳跃	骑马站立	骑马走动	骑马跑步	骑马攻击劈	骑马攻击刺	骑马魔法	骑马受伤	骑马死亡	骑马站立1	骑马站立2
头部01	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
头部02	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
头部03	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
头部04	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
头部05	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
头部06	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
头部07	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
头部08	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
头部09	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
头部10	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
头部11	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
头部12	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
