EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2	ChangeColor
空手																																																																												
单手剑1																																																																												
单手剑2																																																																												
单手剑3																																																																												
单手刀1																																																																												
单手刀2																																																																												
单手刀3																																																																												
长枪类1																																																																												
长枪类2																																																																												
长枪类3																																																																												
长棍类1																																																																												
长棍类2																																																																												
长棍类3																																																																												
双剑类1																																																																												
双剑类2																																																																												
双剑类3																																																																												
双锤类1																																																																												
双锤类2																																																																												
双锤类3																																																																												
暗器																																																																												
单手剑4																																																																												
单手剑5																																																																												
单手刀4																																																																												
单手刀5																																																																												
长枪类4																																																																												
长枪类5																																																																												
长棍类4																																																																												
长棍类5																																																																												
双剑类4																																																																												
双剑类5																																																																												
双锤类4																																																																												
双锤类5																																																																												
单手刀6(金系)																																																																												
单手刀7(水系)																																																																												
单手刀8(木系)																																																																												
单手刀9(土系)																																																																												
单手剑6(水系)																																																																												
单手剑7(土系)																																																																												
长枪类6(金系)																																																																												
长枪类7(火系)																																																																												
长棍类6(金系)																																																																												
长棍类7(火系)																																																																												
双剑类6(水系)																																																																												
双锤类6(金系)																																																																												
