Status	file name	type	Play method	Start frame behind the protagonist	Ending frame behind the protagonist	Total animation frames	Total number of animation directions	animation frame interval	The picture is divided into several parts	"Note: The picture can only be divided into 1, 2, and 3 petals."
Status1	Special	Head	Loop			8	1	50	1	Ñ£ÔÎ
Status2	Special	Foot	Loop			8	1	50	1	ÖĞ¶¾
Status3	Special	Body	Loop	0	29	8	1	50	1	±ù¶³
Status4	Special	Body	Loop	10	20	8	1	50	1	È¼ÉÕ
Status5	Special	Body				8	1	50	1	»ìÂÒ
Status6	\spr\skill\Îå¶¾½Ì\wdu_06_ÎŞĞÎ¹Æ.spr	Foot	Loop	0	0	30	1	18	1	ÎŞĞÎ¹Æ
Status7	\spr\skill\Îå¶¾½Ì\wdu_07_¶¾¶Ü.spr	Body	Loop	0	15	20	1	12	1	¶¾¶Ü
Status8	\spr\skill\Îå¶¾½Ì\wdu_08_±ùÀ¶Ğş¾§.spr	Head	Loop	0	0	30	1	18	1	±ùÀ¶Ğş¾§
Status9	\spr\skill\Îå¶¾½Ì\wdu_09_À×¶¯¾ÅÌì.spr	Head	Loop	0	0	30	1	18	1	À×¶¯¾ÅÌì
Status10	\spr\skill\Îå¶¾½Ì\wdu_10_³àÑæÊ´Ìì.spr	Head	Loop	0	0	30	1	18	1	³àÑæÊ´Ìì
Status11	\spr\skill\Îå¶¾½Ì\wdu_11_Íò¹ÆÊ´ĞÄ.spr	Head	Loop	0	0	30	1	18	1	Íò¹ÆÊ´ĞÄ
Status12	\spr\skill\Îå¶¾½Ì\wdu_12_ÒÆ»¨½ÓÓñ.spr	Head	Loop	0	0	20	1	12	1	ÒÆ»¨½ÓÓñ
Status13	\spr\skill\À¥ÂØ\kl_06_´óÀËÊ´¿Õ.spr	Body	Loop	5	15	20	1	12	1	´óÀË×Ç¿Õ
Status14	\spr\skill\À¥ÂØ\kl_07_ÒıÀ×¶İµØ.spr	Body	Loop	7	22	30	1	18	1	ÒıÀ×¶İµØ
Status15	\spr\skill\À¥ÂØ\kl_08_ÁÒ»ğºì³¾.spr	Body	Loop	7	22	30	1	18	1	ÁÒ»ğºì³¾
Status16	\spr\skill\À¥ÂØ\kl_09_Ä¾Öé±ø½â.spr	Body	Loop	40	40	40	1	16	1	Ä¾Öé±ø½â
Status17	\spr\skill\À¥ÂØ\kl_10_»¬²»ÁôÊÖ.spr	Body	Loop	4	12	15	1	12	1	»¬²»ÁôÊÖ
Status18	\spr\skill\Îäµ±\wd_08_ÈË½£ºÏÒ».spr	Body	Loop	7	22	30	1	18	1	ÈË½£ºÏÒ»
Status19	\spr\skill\Îäµ±\wd_06_×øÍüÎŞÎÒ.spr	Head	Loop	0	0	36	1	21	1	×øÍüÎŞÎÒ
Status20	\spr\skill\Îäµ±\wd_07_ÆßĞÇÕó.spr	Foot	Loop	0	0	30	1	24	1	ÆßĞÇÕó
Status21	\spr\skill\ÌìÈÌ\mag_tr_06_»ğ¶Ü.spr	Body	Loop	4	12	15	1	18	1	»ğ¶Ü
Status22	\spr\skill\ÌìÈÌ\mag_tr_07_ÍµÌì»»ÈÕ.spr	Head	Loop	0	0	15	1	3	1	ÍµÌì»»ÈÕ
