Name	Prop quality	Item ID	Type of props	specific category	Detail	Platinum level	Level	Magic attribute ID1	Param1	Magic 1 starting value 1	Magic 1 end value 1	Magic 1 is worth 1	Magic 1 starting value 2	Magic 1 end value 2	Magic 1 is worth 2	Magic 1 starting value 3	Magic 1 end value 3	Magic 1 is worth 3	Magic 1 starting value 4	Magic 1 end value 4	Magic 1 is worth 4	Magic 1 starting value 5	Magic 1 end value 5	Magic 1 is worth 5	Magic attribute ID2	Param2	Magic 2 starting value 1	Magic 2 end value 1	Magic 2 is worth 1	Magic 2 starting value 2	Magic 2 end value 2	Magic 2 is worth 2	Magic 2 starting value 3	Magic 2 end value 3	Magic 2 is worth 3	Magic 2 starting value 4	Magic 2 end value 4	Magic 2 is worth 4	Magic 2 starting value 5	Magic 2 end value 5	Magic 2 is worth 5	Magic attribute ID3	Param3	Magic 3 starting value 1	Magic 3 end value 1	Magic 3 is worth 1	Magic 3 starting value 2	Magic 3 end value 2	Magic 3 is worth 2	Magic 3 starting value 3	Magic 3 end value 3	Magic 3 is worth 3	Magic 3 starting value 4	Magic 3 end value 4	Magic 3 is worth 4	Magic 3 starting value 5	Magic 3 end value 5	Magic 3 is worth 5	Magic attribute ID4	Param4	Magic 4 starting value 1	Magic 4 end value 1	Magic 4 is worth 1	Magic 4 starting value 2	Magic 4 end value 2	Magic 4 is worth 2	Magic 4 starting value 3	Magic 43 end value 3	Magic 4 is worth 3	Magic 4 starting value 4	Magic 4 end value 4	Magic 4 is worth 4	Magic 4 starting value 5	Magic 4 end value 5	Magic 4 is worth 5	Tinh hån th¹ch	Tµi phó
Méng Long ChÝnh Hång T¨ng M·o	1	1	-1	-1	-1	-1	10	139	273	1	1	0	2	2	42	3	3	104	-1	-1	-1	-1	-1	-1	102	-1	25	26	0	27	28	21	29	29	42	30	30	83	-1	-1	-1	139	271	1	1	0	2	2	21	3	3	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2115385	2115385
Méng Long Kim Ti ChÝnh Hång Cµ Sa	1	2	-1	-1	-1	-1	10	139	318	1	1	0	2	2	73	3	3	183	-1	-1	-1	-1	-1	-1	113	-1	40	46	0	47	53	37	54	59	73	60	60	147	-1	-1	-1	139	8	1	1	0	2	2	37	3	3	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7692	7692
Méng Long HuyÒn Ti Ph¸t ®¸i	1	3	-1	-1	-1	-1	10	139	14	1	1	0	2	2	21	3	3	52	-1	-1	-1	-1	-1	-1	102	-1	25	26	0	27	28	10	29	29	21	30	30	42	-1	-1	-1	106	-1	40	44	0	45	49	10	50	50	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.632.985	4.632.985
Méng Long PhËt Ph¸p HuyÒn Béi	1	4	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58800	58800
Méng Long §¹t Ma T¨ng hµi	1	5	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
Phôc Ma Tö Kim C«n	1	6	-1	-1	-1	-1	10	115	-1	20	24	0	25	29	25	30	34	50	35	39	75	40	40	125	139	273	1	1	0	2	2	50	3	3	100	-1	-1	-1	-1	-1	-1	121	-1	50	54	0	55	59	25	60	60	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11538	11538
Phôc Ma HuyÒn Hoµng Cµ Sa	1	7	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
Phôc Ma ¤ Kim NhuyÔn §iÒu	1	8	-1	-1	-1	-1	10	139	10	1	1	0	2	2	101	3	3	202	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	51	50	50	152	-1	-1	-1	-1	-1	-1	110	-1	30	39	0	40	40	101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2307692	2307692
Phôc Ma PhËt T©m NhuyÔn KhÊu	1	9	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	500000	500000
Phôc Ma Phæ §é T¨ng hµi	1	10	-1	-1	-1	-1	10	139	11	1	1	0	2	2	73	3	3	182	-1	-1	-1	-1	-1	-1	111	-1	40	46	0	47	53	36	54	59	73	60	60	145	-1	-1	-1	103	-1	25	29	0	30	30	73	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.827.621	3.827.621
