MAPPATTERN_ID	BATTLE_MAP_ID	RULE_1	RULE_2	RULE_3	RULE_4	RULE_5	RULE_6	RULE_7	RULE_8	RULE_9	RULE_10
1	6	4	4	4	4	4	4	4	4	4	4
2	1	3	3	3	3	3	3	3	3	3	3
3	21	8	8	8	8	8	8	8	8	8	8
4	6	4	4	4	4	4	4	4	4	4	4
5	1	3	3	3	3	3	3	3	3	3	3
6	21	8	8	8	8	8	8	8	8	8	8
7	6	4	4	4	4	4	4	4	4	4	4
8	1	3	3	3	3	3	3	3	3	3	3
9	21	8	8	8	8	8	8	8	8	8	8
10	6	4	4	4	4	4	4	4	4	4	4
11	1	3	3	3	3	3	3	3	3	3	3
12	21	8	8	8	8	8	8	8	8	8	8
13	6	4	4	4	4	4	4	4	4	4	4
14	1	3	3	3	3	3	3	3	3	3	3
15	21	8	8	8	8	8	8	8	8	8	8
16	6	4	4	4	4	4	4	4	4	4	4
17	1	3	3	3	3	3	3	3	3	3	3
18	21	8	8	8	8	8	8	8	8	8	8
19	6	4	4	4	4	4	4	4	4	4	4
20	1	3	3	3	3	3	3	3	3	3	3
21	21	8	8	8	8	8	8	8	8	8	8
22	6	4	4	4	4	4	4	4	4	4	4
23	1	3	3	3	3	3	3	3	3	3	3
24	21	8	8	8	8	8	8	8	8	8	8
