MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	±¸×¢
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 Ph­îng T­êng
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 Hoa S¬n
11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 Thµnh §«
13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Nga My ph¸i
15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Gi¶ng Kinh §­êng
16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TiÒn ®iÖn
17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ChÝnh ®iÖn
18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	T¶ Thiªn ®iÖn
20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Giang T©n Th«n
25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§­êng M«n
29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	¸m khÝ phßng
30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Háa khÝ phßng
31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vâ c«ng phßng
32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Y d­îc phßng
33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phßng kh¸ch
34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phßng nghÞ sù
35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ChÝnh phßng
36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÕ tæ ®­êng
37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 BiÖn Kinh
45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn NhÉn gi¸o
53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ba L¨ng huyÖn
54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Nam Nh¹c trÊn
55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§µo Hoa Nguyªn
56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoµnh S¬n Ph¸i
59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn V­¬ng Bang
60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TiÒn ®iÖn
61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn V­¬ng §¹i ®iÖn
62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈm cung
