MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	±¸×¢
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 Ph­îng T­êng
11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 Thµnh §«
37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 BiÖn Kinh
53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ba L¨ng huyÖn
54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Nam Nh¹c trÊn
78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 T­¬ng D­¬ng
80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 D­¬ng Ch©u
99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	VÜnh L¹c trÊn
100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Chu Tiªn trÊn
101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§¹o H­¬ng th«n
121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Long M«n trÊn
153	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Th¹ch Cæ trÊn
162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 §¹i Lý phñ 
174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Long TuyÒn th«n
175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	T©y S¬n th«n
176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 L©m An
336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phong L¨ng ®é
342	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vi s¬n ®¶o
520	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Minh NguyÖt trÊn (Ph­îng T­êng) 
521	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Minh NguyÖt trÊn (Thµnh §«) 
522	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Minh NguyÖt trÊn (BiÖn Kinh) 
523	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Minh NguyÖt trÊn (T­¬ng D­¬ng) 
524	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Minh NguyÖt trÊn (D­¬ng Ch©u) 
525	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Minh NguyÖt trÊn (§¹i Lý) 
526	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Minh NguyÖt trÊn (L©m An) 
959	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ChiÕn Long §éng
996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	B·i LuyÖn C«ng
