MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	±¸×¢
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 Ph­îng T­êng
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 Hoa S¬n
11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 Thµnh §«
37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 BiÖn Kinh
53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ba L¨ng huyÖn
78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 T­¬ng D­¬ng
80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 D­¬ng Ch©u
162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 §¹i Lý phñ 
176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 L©m An
75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Kho¶ Lang ®éng
342	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vi s¬n ®¶o
