名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值
劣黄马	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	劣马，鞭策也跑不快。	0	5000	1	0	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	20										
劣黄马	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	劣马，鞭策也跑不快。	0	5000	2	0	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	25										
黄马	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	黄色的普通马，脚程一般。	0	10000	3	0	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	30										
黄马	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	黄色的普通马，脚程一般。	0	10000	4	0	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	35										
黄骠	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	比较好的黄骠马，日行百里。	0	20000	5	0	111	30%	30%	93	200	200	85	50	50	150	-50	-50										36	40										
黄骠	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	比较好的黄骠马，日行百里。	0	20000	6	0	111	30%	30%	93	200	200	85	50	50	150	-50	-50										36	45										
大宛黄马	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	难得的骏马，千金难求。	0	50000	7	0	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	50										
大宛黄马	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	难得的骏马，千金难求。	0	50000	8	0	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	55										
飞黄	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	周穆王八骏之一，日行千里。	0	100000	9	0	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	60										
飞黄	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	周穆王八骏之一，日行千里。	0	100000	10	0	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	72										
劣青马	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	下等资质，毛皮无光的青色劣马。	1	5000	1	0	111	10%	10%	93	50	50	85	5	5	150	-15	-15										36	20										
劣青马	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	下等资质，毛皮无光的青色劣马。	1	5000	2	0	111	10%	10%	93	50	50	85	5	5	150	-15	-15										36	25										
青骢	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	很常见的一种青马，脚程一般。	1	10000	3	0	111	20%	20%	93	100	100	85	10	10	150	-30	-30										36	30										
青骢	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	很常见的一种青马，脚程一般。	1	10000	4	0	111	20%	20%	93	100	100	85	10	10	150	-30	-30										36	35										
紫骝	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	军队常用马，脚程不错。	1	20000	5	0	111	30%	30%	93	200	200	85	20	20	150	-80	-80										36	40										
紫骝	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	军队常用马，脚程不错。	1	20000	6	0	111	30%	30%	93	200	200	85	20	20	150	-80	-80										36	45										
大宛青马	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	大宛名马之一，青色皮毛，光洁如玉。	1	50000	7	0	111	40%	40%	93	500	500	85	50	50	150	-160	-160										36	50										
大宛青马	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	大宛名马之一，青色皮毛，光洁如玉。	1	50000	8	0	111	40%	40%	93	500	500	85	50	50	150	-160	-160										36	55										
骅骝	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	色如华而赤，高级品，周穆王八骏之一。	1	100000	9	0	111	50%	50%	93	1000	1000	85	100	100	150	-320	-320										36	60										
骅骝	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	色如华而赤，高级品，周穆王八骏之一。	1	100000	10	0	111	50%	50%	93	1000	1000	85	100	100	150	-320	-320										36	72										
劣白马	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	白色的劣等马，非常便宜。	2	5000	1	0	111	20%	20%	93	50	50	85	5	5	150	-10	-10										36	20										
劣白马	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	白色的劣等马，非常便宜。	2	5000	2	0	111	20%	20%	93	50	50	85	5	5	150	-10	-10										36	25										
白马	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	普通的白马，随处可见。	2	10000	3	0	111	30%	30%	93	100	100	85	10	10	150	-20	-20										36	30										
白马	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	普通的白马，随处可见。	2	10000	4	0	111	30%	30%	93	100	100	85	10	10	150	-20	-20										36	35										
玉花骢	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	传闻中的一种天马，实际上是一种大宛良驹。	2	20000	5	0	111	40%	40%	93	200	200	85	20	20	150	-50	-50										36	40										
玉花骢	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	传闻中的一种天马，实际上是一种大宛良驹。	2	20000	6	0	111	40%	40%	93	200	200	85	20	20	150	-50	-50										36	45										
大宛白马	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	大宛名马之一，雪白皮毛，脚程很快。	2	50000	7	0	111	50%	50%	93	500	500	85	50	50	150	-100	-100										36	50										
大宛白马	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	大宛名马之一，雪白皮毛，脚程很快。	2	50000	8	0	111	50%	50%	93	500	500	85	50	50	150	-100	-100										36	55										
骕骦	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	纯白的千里马，洁白无暇，超尘脱俗。	2	100000	9	0	111	60%	60%	93	1000	1000	85	100	100	150	-200	-200										36	60										
骕骦	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	纯白的千里马，洁白无暇，超尘脱俗。	2	100000	10	0	111	60%	60%	93	1000	1000	85	100	100	150	-200	-200										36	72										
劣黑马	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	黑色劣马，品种很差，脾性也不太好。	3	5000	1	0	111	10%	10%	93	50	50	85	5	5	150	-10	-10										36	20										
劣黑马	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	黑色劣马，品种很差，脾性也不太好。	3	5000	2	0	111	10%	10%	93	50	50	85	5	5	150	-10	-10										36	25										
黑马	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	常见马，一般人都能够买的起。	3	10000	3	0	111	20%	20%	93	100	100	85	10	10	150	-20	-20										36	30										
黑马	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	常见马，一般人都能够买的起。	3	10000	4	0	111	20%	20%	93	100	100	85	10	10	150	-20	-20										36	35										
黑骐	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	比较好的军马，战士喜用。	3	20000	5	0	111	30%	30%	93	200	200	85	20	20	150	-50	-50										36	40										
黑骐	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	比较好的军马，战士喜用。	3	20000	6	0	111	30%	30%	93	200	200	85	20	20	150	-50	-50										36	45										
大宛黑马	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	大宛名马之一，体力和脚力都很优秀。	3	50000	7	0	111	40%	40%	93	500	500	85	50	50	150	-100	-100										36	50										
大宛黑马	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	大宛名马之一，体力和脚力都很优秀。	3	50000	8	0	111	40%	40%	93	500	500	85	50	50	150	-100	-100										36	55										
乌骓	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	楚霸王的坐骑，千里名马。	3	100000	9	0	111	50%	50%	93	1000	1000	85	100	100	150	-200	-200										36	60										
乌骓	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	楚霸王的坐骑，千里名马。	3	100000	10	0	111	50%	50%	93	1000	1000	85	100	100	150	-200	-200										36	72										
劣红马	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	红色劣马，一看就知道是赔钱货。	4	5000	1	0	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	20										
劣红马	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	红色劣马，一看就知道是赔钱货。	4	5000	2	0	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	25										
红马	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	红色的普通马，可用于一般骑乘。	4	10000	3	0	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	30										
红马	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	红色的普通马，可用于一般骑乘。	4	10000	4	0	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	35										
