ÂíÆ¥±àºÅ	ÂíÆ¥²¿¼ş±àºÅ	ËµÃ÷
1	0	Dßng thø nhÊt cho biÕt kh«ng cã trang bŞ. Cßn l¹i ®Òu v« nghÜa
2	10	Phæ th«ng Hoµng M· 
3	10	Phæ th«ng Hoµng M· 
4	10	Phæ th«ng Hoµng M· 
5	10	Phæ th«ng Hoµng M· 
6	10	Phæ th«ng Hoµng M· 
7	10	Phæ th«ng Hoµng M· 
8	10	Phæ th«ng Hoµng M· 
9	10	Phæ th«ng Hoµng M· 
10	10	Phæ th«ng Hoµng M· 
11	10	Phæ th«ng Hoµng M· 
12	6	Phæ Th«ng Thanh M· 
13	6	Phæ Th«ng Thanh M· 
14	6	Phæ Th«ng Thanh M· 
15	6	Phæ Th«ng Thanh M· 
16	6	Phæ Th«ng Thanh M· 
17	6	Phæ Th«ng Thanh M· 
18	6	Phæ Th«ng Thanh M· 
19	6	Phæ Th«ng Thanh M· 
20	6	Phæ Th«ng Thanh M· 
21	6	Phæ Th«ng Thanh M· 
22	9	Phæ Th«ng B¹ch M· 
23	9	Phæ Th«ng B¹ch M· 
24	9	Phæ Th«ng B¹ch M· 
25	9	Phæ Th«ng B¹ch M· 
26	9	Phæ Th«ng B¹ch M· 
27	9	Phæ Th«ng B¹ch M· 
28	9	Phæ Th«ng B¹ch M· 
29	9	Phæ Th«ng B¹ch M· 
30	9	Phæ Th«ng B¹ch M· 
31	9	Phæ Th«ng B¹ch M· 
32	5	Phæ Th«ng H¾c M· 
33	5	Phæ Th«ng H¾c M· 
34	5	Phæ Th«ng H¾c M· 
35	5	Phæ Th«ng H¾c M· 
36	5	Phæ Th«ng H¾c M· 
37	5	Phæ Th«ng H¾c M· 
38	5	Phæ Th«ng H¾c M· 
39	5	Phæ Th«ng H¾c M· 
40	5	Phæ Th«ng H¾c M· 
41	5	Phæ Th«ng H¾c M· 
42	8	Phæ Th«ng Hång M· 
43	8	Phæ Th«ng Hång M· 
44	8	Phæ Th«ng Hång M· 
45	8	Phæ Th«ng Hång M· 
46	8	Phæ Th«ng Hång M· 
47	8	Phæ Th«ng Hång M· 
48	8	Phæ Th«ng Hång M· 
49	8	Phæ Th«ng Hång M· 
50	8	Phæ Th«ng Hång M· 
51	8	Phæ Th«ng Hång M· 
52	7	¤ V©n §¹p TuyÕt
53	2	Xİch Thè 
54	11	TuyÖt ¶nh
55	4	§İch L« 
56	3	ChiÕu D¹ Ngäc S­ Tö 
57	7	¤ V©n §¹p TuyÕt
58	2	Xİch Thè 
59	11	TuyÖt ¶nh
60	4	§İch L« 
61	3	ChiÕu D¹ Ngäc S­ Tö 
62	12	B«n Tiªu
63	12	B«n Tiªu
64	12	B«n Tiªu
65	12	B«n Tiªu
66	12	B«n Tiªu
67	12	B«n Tiªu
68	12	B«n Tiªu
69	12	B«n Tiªu
70	12	B«n Tiªu
71	12	B«n Tiªu
72	13	Phiªn Vò 
73	13	Phiªn Vò 
74	13	Phiªn Vò 
75	13	Phiªn Vò 
76	13	Phiªn Vò 
77	13	Phiªn Vò 
78	13	Phiªn Vò 
79	13	Phiªn Vò 
80	13	Phiªn Vò 
81	13	Phiªn Vò 
82	14	Phi V©n
83	14	Phi V©n
84	14	Phi V©n
85	14	Phi V©n
86	14	Phi V©n
87	14	Phi V©n
88	14	Phi V©n
89	14	Phi V©n
90	14	Phi V©n
91	14	Phi V©n
92	15	"Xİch Long C©u, huyÕt hång cao cÊp"
93	15	"Xİch Long C©u, huyÕt hång cao cÊp"
94	15	"Xİch Long C©u, huyÕt hång cao cÊp"
95	15	"Xİch Long C©u, huyÕt hång cao cÊp"
96	15	"Xİch Long C©u, huyÕt hång cao cÊp"
97	15	"Xİch Long C©u, huyÕt hång cao cÊp"
98	15	"Xİch Long C©u, huyÕt hång cao cÊp"
99	15	"Xİch Long C©u, huyÕt hång cao cÊp"
100	15	"Xİch Long C©u, huyÕt hång cao cÊp"
101	15	"Xİch Long C©u, huyÕt hång cao cÊp"
102	16	"TuyÖt §Şa, broken"
103	16	"TuyÖt §Şa, broken"
104	16	"TuyÖt §Şa, broken"
105	16	"TuyÖt §Şa, broken"
106	16	"TuyÖt §Şa, broken"
107	16	"TuyÖt §Şa, broken"
108	16	"TuyÖt §Şa, broken"
109	16	"TuyÖt §Şa, broken"
110	16	"TuyÖt §Şa, broken"
111	16	"TuyÖt §Şa, broken"
112	17	"Du Huy, huyÕt hång cao cÊp"
113	17	"Du Huy, huyÕt hång cao cÊp"
114	17	"Du Huy, huyÕt hång cao cÊp"
115	17	"Du Huy, huyÕt hång cao cÊp"
116	17	"Du Huy, huyÕt hång cao cÊp"
117	17	"Du Huy, huyÕt hång cao cÊp"
118	17	"Du Huy, huyÕt hång cao cÊp"
119	17	"Du Huy, huyÕt hång cao cÊp"
120	17	"Du Huy, huyÕt hång cao cÊp"
121	17	"Du Huy, huyÕt hång cao cÊp"
122	18	"§»ng Vô, broken"
123	18	"§»ng Vô, t«ng hoµng cao cÊp"
124	18	"§»ng Vô, t«ng hoµng cao cÊp"
125	18	"§»ng Vô, t«ng hoµng cao cÊp"
126	18	"§»ng Vô, t«ng hoµng cao cÊp"
127	18	"§»ng Vô, broken"
128	18	"§»ng Vô, t«ng hoµng cao cÊp"
129	18	"§»ng Vô, t«ng hoµng cao cÊp"
130	18	"§»ng Vô, t«ng hoµng cao cÊp"
131	18	"§»ng Vô, broken"
132	19	"Siªu Quang, broken"
133	19	"Siªu Quang, t«ng hång cao c©p"
134	19	"Siªu Quang, t«ng hång cao c©p"
135	19	"Siªu Quang, t«ng hång cao c©p"
136	19	"Siªu Quang, broken"
137	19	"Siªu Quang, t«ng hång cao c©p"
138	19	"Siªu Quang, t«ng hång cao c©p"
139	19	"Siªu Quang, t«ng hång cao c©p"
140	19	"Siªu Quang, t«ng hång cao c©p"
141	19	"Siªu Quang, broken"
142	20	Hæ tr¾ng
143	20	Hæ tr¾ng
144	20	Hæ tr¾ng
145	20	Hæ tr¾ng
146	20	Hæ tr¾ng
147	20	Hæ tr¾ng
148	20	Hæ tr¾ng
149	20	Hæ tr¾ng
150	20	Hæ tr¾ng
151	20	Hæ tr¾ng
152	21	Háa Tinh Kim Hæ V­¬ng
153	21	Háa Tinh Kim Hæ V­¬ng
154	21	Háa Tinh Kim Hæ V­¬ng
155	21	Háa Tinh Kim Hæ V­¬ng
156	21	Háa Tinh Kim Hæ V­¬ng
157	21	Háa Tinh Kim Hæ V­¬ng
158	21	Háa Tinh Kim Hæ V­¬ng
159	21	Háa Tinh Kim Hæ V­¬ng
160	21	Háa Tinh Kim Hæ V­¬ng
161	21	Háa Tinh Kim Hæ V­¬ng
162	22	Kim Tinh B¹ch Hæ V­¬ng
163	22	Kim Tinh B¹ch Hæ V­¬ng
164	22	Kim Tinh B¹ch Hæ V­¬ng
165	22	Kim Tinh B¹ch Hæ V­¬ng
166	22	Kim Tinh B¹ch Hæ V­¬ng
167	22	Kim Tinh B¹ch Hæ V­¬ng
168	22	Kim Tinh B¹ch Hæ V­¬ng
169	22	Kim Tinh B¹ch Hæ V­¬ng
