马匹编号	马匹部件编号	说明
1	0	第一行是没有装备的情况，在此处无意义。
2	10	普通黄马
3	10	普通黄马
4	10	普通黄马
5	10	普通黄马
6	10	普通黄马
7	10	普通黄马
8	10	普通黄马
9	10	普通黄马
10	10	普通黄马
11	10	普通黄马
12	6	普通青马
13	6	普通青马
14	6	普通青马
15	6	普通青马
16	6	普通青马
17	6	普通青马
18	6	普通青马
19	6	普通青马
20	6	普通青马
21	6	普通青马
22	9	普通白马
23	9	普通白马
24	9	普通白马
25	9	普通白马
26	9	普通白马
27	9	普通白马
28	9	普通白马
29	9	普通白马
30	9	普通白马
31	9	普通白马
32	5	普通黑马
33	5	普通黑马
34	5	普通黑马
35	5	普通黑马
36	5	普通黑马
37	5	普通黑马
38	5	普通黑马
39	5	普通黑马
40	5	普通黑马
41	5	普通黑马
42	8	普通红马
43	8	普通红马
44	8	普通红马
45	8	普通红马
46	8	普通红马
47	8	普通红马
48	8	普通红马
49	8	普通红马
50	8	普通红马
51	8	普通红马
52	7	乌云踏雪，顶级黑
53	2	赤兔，顶级红
54	11	绝影，顶级青
55	4	的卢，顶级黄
56	3	照夜玉狮子，顶级白
57	7	乌云踏雪，顶级黑
58	2	赤兔，顶级红
59	11	绝影，顶级青
60	4	的卢，顶级黄
61	3	照夜玉狮子，顶级白
62	12	奔宵，顶级黝黑
63	12	奔宵，顶级黝黑
64	12	奔宵，顶级黝黑
65	12	奔宵，顶级黝黑
66	12	奔宵，顶级黝黑
67	12	奔宵，顶级黝黑
68	12	奔宵，顶级黝黑
69	12	奔宵，顶级黝黑
70	12	奔宵，顶级黝黑
71	12	奔宵，顶级黝黑
72	13	翻羽，顶级雪白
73	13	翻羽，顶级雪白
74	13	翻羽，顶级雪白
75	13	翻羽，顶级雪白
76	13	翻羽，顶级雪白
77	13	翻羽，顶级雪白
78	13	翻羽，顶级雪白
79	13	翻羽，顶级雪白
80	13	翻羽，顶级雪白
81	13	翻羽，顶级雪白
82	14	飞云，顶级青白
83	14	飞云，顶级青白
84	14	飞云，顶级青白
85	14	飞云，顶级青白
86	14	飞云，顶级青白
87	14	飞云，顶级青白
88	14	飞云，顶级青白
89	14	飞云，顶级青白
90	14	飞云，顶级青白
91	14	飞云，顶级青白
92	15	赤龙驹，顶级血红
93	15	赤龙驹，顶级血红
94	15	赤龙驹，顶级血红
95	15	赤龙驹，顶级血红
96	15	赤龙驹，顶级血红
97	15	赤龙驹，顶级血红
98	15	赤龙驹，顶级血红
99	15	赤龙驹，顶级血红
100	15	赤龙驹，顶级血红
101	15	赤龙驹，顶级血红
102	16	绝地，顶级黝黑
103	16	绝地，顶级黝黑
104	16	绝地，顶级黝黑
105	16	绝地，顶级黝黑
106	16	绝地，顶级黝黑
107	16	绝地，顶级黝黑
108	16	绝地，顶级黝黑
109	16	绝地，顶级黝黑
110	16	绝地，顶级黝黑
111	16	绝地，顶级黝黑
112	17	逾辉，顶级血红
113	17	逾辉，顶级血红
114	17	逾辉，顶级血红
115	17	逾辉，顶级血红
116	17	逾辉，顶级血红
117	17	逾辉，顶级血红
118	17	逾辉，顶级血红
119	17	逾辉，顶级血红
120	17	逾辉，顶级血红
121	17	逾辉，顶级血红
122	18	腾雾，顶级棕黄
123	18	腾雾，顶级棕黄
124	18	腾雾，顶级棕黄
125	18	腾雾，顶级棕黄
126	18	腾雾，顶级棕黄
127	18	腾雾，顶级棕黄
128	18	腾雾，顶级棕黄
129	18	腾雾，顶级棕黄
130	18	腾雾，顶级棕黄
131	18	腾雾，顶级棕黄
132	19	超光，顶级棕红
133	19	超光，顶级棕红
134	19	超光，顶级棕红
135	19	超光，顶级棕红
136	19	超光，顶级棕红
137	19	超光，顶级棕红
138	19	超光，顶级棕红
139	19	超光，顶级棕红
140	19	超光，顶级棕红
141	19	超光，顶级棕红
142	20	虎王
143	20	虎王
144	20	虎王
145	20	虎王
146	20	虎王
147	20	虎王
148	20	虎王
149	20	虎王
150	20	虎王
151	20	虎王
152	21	火睛金虎王
153	21	火睛金虎王
154	21	火睛金虎王
155	21	火睛金虎王
156	21	火睛金虎王
157	21	火睛金虎王
158	21	火睛金虎王
159	21	火睛金虎王
160	21	火睛金虎王
161	21	火睛金虎王
162	22	金睛白虎王
163	22	金睛白虎王
164	22	金睛白虎王
165	22	金睛白虎王
166	22	金睛白虎王
167	22	金睛白虎王
168	22	金睛白虎王
169	22	金睛白虎王
170	22	金睛白虎王
171	22	金睛白虎王
172	23	龙睛黑虎王
173	23	龙睛黑虎王
174	23	龙睛黑虎王
175	23	龙睛黑虎王
176	23	龙睛黑虎王
177	23	龙睛黑虎王
178	23	龙睛黑虎王
179	23	龙睛黑虎王
180	23	龙睛黑虎王
181	23	龙睛黑虎王
182	24	汗血龙驹
183	24	汗血龙驹
184	24	汗血龙驹
185	24	汗血龙驹
186	24	汗血龙驹
187	24	汗血龙驹
188	24	汗血龙驹
189	24	汗血龙驹
190	24	汗血龙驹
191	24	汗血龙驹
192	13	风云白马
193	13	风云白马
194	13	风云白马
195	13	风云白马
196	13	风云白马
197	13	风云白马
198	13	风云白马
199	13	风云白马
200	13	风云白马
201	13	风云白马
202	13	风云战马
203	13	风云战马
204	13	风云战马
205	13	风云战马
206	13	风云战马
207	13	风云战马
208	13	风云战马
209	13	风云战马
210	13	风云战马
211	13	风云战马
212	13	风云神马
213	13	风云神马
214	13	风云神马
215	13	风云神马
216	13	风云神马
217	13	风云神马
218	13	风云神马
219	13	风云神马
220	13	风云神马
221	13	风云神马
222	25	狮子
223	25	狮子
224	25	狮子
225	25	狮子
226	25	狮子
227	25	狮子
228	25	狮子
229	25	狮子
230	25	狮子
231	25	狮子
232	26	骆驼
233	26	骆驼
234	26	骆驼
235	26	骆驼
236	26	骆驼
237	26	骆驼
238	26	骆驼
239	26	骆驼
240	26	骆驼
241	26	骆驼
242	27	草泥马
243	27	草泥马
244	27	草泥马
245	27	草泥马
246	27	草泥马
247	27	草泥马
248	27	草泥马
249	27	草泥马
250	27	草泥马
251	27	草泥马
252	28	梅花鹿
253	28	梅花鹿
254	28	梅花鹿
255	28	梅花鹿
256	28	梅花鹿
257	28	梅花鹿
258	28	梅花鹿
259	28	梅花鹿
260	28	梅花鹿
261	28	梅花鹿
262	29	扬沙
263	29	扬沙
264	29	扬沙
265	29	扬沙
266	29	扬沙
267	29	扬沙
268	29	扬沙
269	29	扬沙
270	29	扬沙
271	29	扬沙
272	30	御风
273	30	御风
274	30	御风
275	30	御风
276	30	御风
277	30	御风
278	30	御风
279	30	御风
280	30	御风
281	30	御风
282	31	追电
283	31	追电
284	31	追电
285	31	追电
286	31	追电
287	31	追电
288	31	追电
289	31	追电
290	31	追电
291	31	追电
292	32	流星
293	32	流星
294	32	流星
295	32	流星
296	32	流星
297	32	流星
298	32	流星
299	32	流星
300	32	流星
301	32	流星
302	13	翻羽，顶级雪白
303	13	翻羽，顶级雪白
304	13	翻羽，顶级雪白
305	13	翻羽，顶级雪白
306	13	翻羽，顶级雪白
307	13	翻羽，顶级雪白
308	13	翻羽，顶级雪白
309	13	翻羽，顶级雪白
310	13	翻羽，顶级雪白
311	13	翻羽，顶级雪白
312	15	赤龙驹，顶级血红
313	15	赤龙驹，顶级血红
314	15	赤龙驹，顶级血红
315	15	赤龙驹，顶级血红
316	15	赤龙驹，顶级血红
317	15	赤龙驹，顶级血红
318	15	赤龙驹，顶级血红
319	15	赤龙驹，顶级血红
320	15	赤龙驹，顶级血红
321	15	赤龙驹，顶级血红
322	19	超光，顶级棕红
323	19	超光，顶级棕红
324	19	超光，顶级棕红
325	19	超光，顶级棕红
326	19	超光，顶级棕红
327	19	超光，顶级棕红
328	19	超光，顶级棕红
329	19	超光，顶级棕红
330	19	超光，顶级棕红
331	19	超光，顶级棕红
332	33	蓝麟神鹿
333	33	蓝麟神鹿
334	33	蓝麟神鹿
335	33	蓝麟神鹿
336	33	蓝麟神鹿
337	33	蓝麟神鹿
338	33	蓝麟神鹿
339	33	蓝麟神鹿
340	33	蓝麟神鹿
341	33	蓝麟神鹿
342	24	2013中越友谊·汗血龙驹
343	24	2013中越友谊·汗血龙驹
344	24	2013中越友谊·汗血龙驹
345	24	2013中越友谊·汗血龙驹
346	24	2013中越友谊·汗血龙驹
347	24	2013中越友谊·汗血龙驹
348	24	2013中越友谊·汗血龙驹
349	24	2013中越友谊·汗血龙驹
350	24	2013中越友谊·汗血龙驹
351	24	2013中越友谊·汗血龙驹
352	34	2015VIP·墨羽仙驴
353	34	2015VIP·墨羽仙驴
354	34	2015VIP·墨羽仙驴
355	34	2015VIP·墨羽仙驴
356	34	2015VIP·墨羽仙驴
357	34	2015VIP·墨羽仙驴
358	34	2015VIP·墨羽仙驴
359	34	2015VIP·墨羽仙驴
360	34	2015VIP·墨羽仙驴
361	34	2015VIP·墨羽仙驴
362	36	2017VIP·战狼
363	36	2017VIP·战狼
364	36	2017VIP·战狼
365	36	2017VIP·战狼
366	36	2017VIP·战狼
367	36	2017VIP·战狼
368	36	2017VIP·战狼
369	36	2017VIP·战狼
370	36	2017VIP·战狼
371	36	2017VIP·战狼
372	37	银甲玄彘
373	37	银甲玄彘
374	37	银甲玄彘
375	37	银甲玄彘
376	37	银甲玄彘
377	37	银甲玄彘
378	37	银甲玄彘
379	37	银甲玄彘
380	37	银甲玄彘
381	37	银甲玄彘
382	38	惊帆
383	38	惊帆
384	38	惊帆
385	38	惊帆
386	38	惊帆
387	38	惊帆
388	38	惊帆
389	38	惊帆
390	38	惊帆
391	38	惊帆
392	39	狐狸1
393	39	狐狸1
394	39	狐狸1
395	39	狐狸1
396	39	狐狸1
397	39	狐狸1
398	39	狐狸1
399	39	狐狸1
400	39	狐狸1
401	39	狐狸1
402	40	狐狸2
403	40	狐狸2
404	40	狐狸2
405	40	狐狸2
406	40	狐狸2
407	40	狐狸2
408	40	狐狸2
409	40	狐狸2
410	40	狐狸2
411	40	狐狸2
412	41	狐狸3
413	41	狐狸3
414	41	狐狸3
415	41	狐狸3
416	41	狐狸3
417	41	狐狸3
418	41	狐狸3
419	41	狐狸3
420	41	狐狸3
421	41	狐狸3
422	42	五行阵首通·雪域战狼
423	42	五行阵首通·雪域战狼
424	42	五行阵首通·雪域战狼
425	42	五行阵首通·雪域战狼
426	42	五行阵首通·雪域战狼
427	42	五行阵首通·雪域战狼
428	42	五行阵首通·雪域战狼
429	42	五行阵首通·雪域战狼
430	42	五行阵首通·雪域战狼
431	42	五行阵首通·雪域战狼
432	35	限时拍卖奢侈马-飒露紫
433	35	限时拍卖奢侈马-飒露紫
434	35	限时拍卖奢侈马-飒露紫
435	35	限时拍卖奢侈马-飒露紫
436	35	限时拍卖奢侈马-飒露紫
437	35	限时拍卖奢侈马-飒露紫
438	35	限时拍卖奢侈马-飒露紫
439	35	限时拍卖奢侈马-飒露紫
440	35	限时拍卖奢侈马-飒露紫
441	35	限时拍卖奢侈马-飒露紫
442	43	雪域银魂
443	43	雪域银魂
444	43	雪域银魂
445	43	雪域银魂
446	43	雪域银魂
447	43	雪域银魂
448	43	雪域银魂
449	43	雪域银魂
450	43	雪域银魂
451	43	雪域银魂
452	44	雪域赤角
453	44	雪域赤角
454	44	雪域赤角
455	44	雪域赤角
456	44	雪域赤角
457	44	雪域赤角
458	44	雪域赤角
459	44	雪域赤角
460	44	雪域赤角
461	44	雪域赤角
462	45	雪域金角
463	45	雪域金角
464	45	雪域金角
465	45	雪域金角
466	45	雪域金角
467	45	雪域金角
468	45	雪域金角
469	45	雪域金角
470	45	雪域金角
471	45	雪域金角
472	46	雪域战魂
473	46	雪域战魂
474	46	雪域战魂
475	46	雪域战魂
476	46	雪域战魂
477	46	雪域战魂
478	46	雪域战魂
479	46	雪域战魂
480	46	雪域战魂
481	46	雪域战魂
482	47	出岫轻云
483	47	出岫轻云
484	47	出岫轻云
485	47	出岫轻云
486	47	出岫轻云
487	47	出岫轻云
488	47	出岫轻云
489	47	出岫轻云
490	47	出岫轻云
491	47	出岫轻云
492	48	苍蓝山君
493	48	苍蓝山君
494	48	苍蓝山君
495	48	苍蓝山君
496	48	苍蓝山君
497	48	苍蓝山君
498	48	苍蓝山君
499	48	苍蓝山君
500	48	苍蓝山君
501	48	苍蓝山君
502	49	绯红山君
503	49	绯红山君
504	49	绯红山君
505	49	绯红山君
506	49	绯红山君
507	49	绯红山君
508	49	绯红山君
509	49	绯红山君
510	49	绯红山君
511	49	绯红山君
512	50	赤阳山君
513	50	赤阳山君
514	50	赤阳山君
515	50	赤阳山君
516	50	赤阳山君
517	50	赤阳山君
518	50	赤阳山君
519	50	赤阳山君
520	50	赤阳山君
521	50	赤阳山君
