名称	道具种类	具体类别	动画文件名	对应物件索引	宽度	高度	说明文字	详细类别
翠羽簪	4	0	\spr\item\questkey\taskobj001.spr	41	1	1	任务道具	0
大曼陀罗花	4	1	\spr\item\questkey\taskobj002.spr	41	1	1	任务道具	0
银雪鱼	4	2	\spr\item\questkey\taskobj003.spr	41	1	1	任务道具	0
碧裳凤蝶	4	3	\spr\item\questkey\taskobj004.spr	41	1	1	任务道具	0
红蚯蚓	4	4	\spr\item\questkey\taskobj005.spr	41	1	1	任务道具	0
雨铜观音	4	5	\spr\item\questkey\taskobj006.spr	41	1	2	任务道具	0
出师禁地任务丝帕	4	6	\spr\item\questkey\taskobj007.spr	41	1	1	任务道具	0
骆驼头骨	4	7	\spr\item\questkey\taskobj008.spr	41	1	1	任务道具	0
金丝猴	4	8	\spr\item\questkey\taskobj009.spr	41	1	1	任务道具	0
血魂神剑	4	9	\spr\item\questkey\taskobj010.spr	41	1	1	任务道具	0
一缕头发	4	10	\spr\item\questkey\taskobj011.spr	41	1	1	任务道具	0
伏羲锁	4	11	\spr\item\questkey\taskobj012.spr	41	1	1	任务道具	0
炎帝锁	4	12	\spr\item\questkey\taskobj013.spr	41	1	1	任务道具	0
少昊锁	4	13	\spr\item\questkey\taskobj014.spr	41	1	1	任务道具	0
颛顼锁	4	14	\spr\item\questkey\taskobj015.spr	41	1	1	任务道具	0
黄帝锁	4	15	\spr\item\questkey\taskobj016.spr	41	1	1	任务道具	0
五色石	4	16	\spr\item\questkey\taskobj017.spr	41	1	1	任务道具	0
白玉如意	4	17	\spr\item\questkey\taskobj018.spr	41	1	1	上等白玉制作的如意，光滑圆润。峨嵋派入门凭证。	0
左半面铜镜	4	18	\spr\item\questkey\taskobj019.spr	41	1	1	一块残缺的黄铜镜的左半面。	0
右半面铜镜	4	19	\spr\item\questkey\taskobj019-1.spr	41	1	1	一块残缺的黄铜镜的右半面。	0
铜镜	4	20	\spr\item\questkey\taskobj020.spr	41	1	1	一面完整的黄铜镜。	0
芙蓉锦鸡图	4	21	\spr\item\questkey\taskobj021.spr	41	1	1	宋徽宗名作，描绘了一幅芙蓉压锦鸡，锦鸡戏蝴蝶的生机盎然的画卷，用笔精细，华丽富贵。	0
百鸟朝凤曲谱	4	22	\spr\item\questkey\taskobj022.spr	41	1	1	曲中极品，失传已久。描摹的是天下百鸟向凤凰贺寿的画面。 	0
